question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",9ddce60c-d922-45b2-a48b-ad0a91d0b54a,brightfield microscopy,3,"{'pred': [3], 'probs': [[0.002762599615380168, 0.006122084800153971, 0.12469208240509033, 0.8242166042327881, 0.005737591534852982, 0.03646904602646828]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e710f4c1-4756-4ab2-a26d-5ed09678c02b,pathology,3,"{'pred': [0], 'probs': [[0.5639547109603882, 0.001022673794068396, 0.0001737138954922557, 0.06324874609708786, 0.3047034442424774, 0.06689668446779251]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",d10192ff-832e-47ff-8e87-b5596c0dc0bf,light microscopy,2,"{'pred': [2], 'probs': [[0.0008091069175861776, 2.0274166672606952e-05, 0.9975861310958862, 0.001584450714290142]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",df9339a1-aae5-465c-bba8-2b515e49104d,H&E,3,"{'pred': [4], 'probs': [[0.00032382135395891964, 0.031752388924360275, 0.008000470697879791, 4.991767355022603e-07, 0.5681483745574951, 0.39177438616752625]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Giemsa']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",8971281f-d1c3-4d64-ada9-83a196e25679,light microscopy,0,"{'pred': [0], 'probs': [[0.9978346228599548, 1.5491392332478426e-05, 0.0006892586825415492, 0.0014607408083975315]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",32cc83d0-bcf1-4e5e-a9ea-11c2a5d373fc,H&E,0,"{'pred': [5], 'probs': [[0.27901625633239746, 0.014942605048418045, 0.0008775039459578693, 5.2444123866735026e-05, 0.11672531068325043, 0.588385820388794]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? none of the above']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",d643d0c1-ad14-4b73-94f9-1b4359897079,pathology,2,"{'pred': [2], 'probs': [[5.2040748414583504e-05, 0.010026900097727776, 0.5440307855606079, 0.44099161028862, 1.4269619441620307e-06, 0.00489730155095458]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",92fd074e-29a7-4ace-9e76-cd6c0bc90a2d,pathology,4,"{'pred': [4], 'probs': [[0.009193376637995243, 6.0594084061449394e-05, 0.00031259850948117673, 0.24757401645183563, 0.6364684700965881, 0.10639093816280365]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6ba74832-7f5d-47e7-9ae0-d1f2644c929c,gastrointestinal pathology,4,"{'pred': [1], 'probs': [[0.003506049746647477, 0.43099042773246765, 0.0001433417055523023, 0.2590058147907257, 0.29367345571517944, 0.012680964544415474]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? autopsy pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? oral pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",980a29d5-d294-4343-afa0-d01742f8101a,gastrointestinal pathology,1,"{'pred': [5], 'probs': [[0.05135446414351463, 0.002279291395097971, 0.10652537643909454, 0.05837744101881981, 0.013278674334287643, 0.7681847214698792]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? none of the above']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",8d4c8940-7998-4c69-a137-b7a4a938f28c,gastrointestinal pathology,2,"{'pred': [3], 'probs': [[0.08396633714437485, 0.11779068410396576, 0.002835085615515709, 0.44772157073020935, 0.18451088666915894, 0.16317537426948547]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",11b006f8-109c-4e74-88d9-99bfda8564b9,pathology,4,"{'pred': [4], 'probs': [[0.21635256707668304, 0.00018801310216076672, 0.004450249020010233, 0.0010126392589882016, 0.7729713320732117, 0.005025241058319807]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",7081e8fc-f790-4620-892a-b11d58506681,light microscopy,0,"{'pred': [0], 'probs': [[0.948227047920227, 0.04036424681544304, 0.00033964889007620513, 0.011069057509303093]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? none of the above']",3467c52b-d474-42e9-88f5-4ab0d5ad95e3,H&E,0,"{'pred': [0], 'probs': [[0.6505162715911865, 0.00028178986394777894, 0.00010148722503799945, 0.003355619730427861, 0.004929925315082073, 0.34081482887268066]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
