,question_class,question,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through light microscopy.', 'A micrograph acquired through electron microscopy.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A micrograph acquired through light microscopy.,1,"{'pred': [0], 'probs': [[0.4024403989315033, 0.2351689338684082, 0.337741494178772, 0.02464914880692959]], 'pred_prompt': ['A micrograph acquired through fluorescence microscopy.']}",none,none,none,none,none,none
1,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through light microscopy.', 'A microscopy image obtained through electron microscopy.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A microscopy image obtained through light microscopy.,1,"{'pred': [1], 'probs': [[0.0897703766822815, 0.45513224601745605, 0.45461517572402954, 0.0004822437767870724]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",none,none,none,none,none,none
2,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through mixed.', 'A micrograph acquired through differential interference contrast microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through polarized light microscopy.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A micrograph acquired through brightfield microscopy.,2,"{'pred': [1], 'probs': [[0.07153475284576416, 0.3710935413837433, 0.26379749178886414, 0.25853341817855835, 0.0007119737565517426, 0.03432884067296982]], 'pred_prompt': ['A micrograph acquired through differential interference contrast microscopy.']}",none,none,none,none,none,none
3,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through mixed.', 'A microscopy image obtained through differential interference contrast microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through polarized light microscopy.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A microscopy image obtained through brightfield microscopy.,2,"{'pred': [2], 'probs': [[0.0075471713207662106, 0.43571215867996216, 0.49945497512817383, 0.05568314343690872, 0.00021359141101129353, 0.0013890343252569437]], 'pred_prompt': ['A microscopy image obtained through brightfield microscopy.']}",none,none,none,none,none,none
4,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in cytology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in ophthalmology.', 'A micrograph, typically studied in pathology.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,"A micrograph, typically studied in pathology.",4,"{'pred': [1], 'probs': [[0.04417965188622475, 0.9247347116470337, 0.028116540983319283, 0.0016362107126042247, 0.0012504556216299534, 8.229655941249803e-05]], 'pred_prompt': ['A micrograph, typically studied in radiology.']}",none,none,none,none,none,none
5,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in radiology.', 'A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in ophthalmology.', 'A microscopy image frequently studied in pathology.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A microscopy image frequently studied in pathology.,4,"{'pred': [1], 'probs': [[0.3117865324020386, 0.34088996052742004, 0.3242604732513428, 0.01273816917091608, 0.00917352456599474, 0.0011513240169733763]], 'pred_prompt': ['A microscopy image frequently studied in radiology.']}",none,none,none,none,none,none
6,stain_0,A micrograph stained with {class}.,"['A micrograph stained with Giemsa.', 'A micrograph stained with Papanicolaou.', 'A micrograph stained with Toluidine Blue.', 'A micrograph stained with H&E.', 'A micrograph stained with Wright-Giemsa.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A micrograph stained with Giemsa.,0,"{'pred': [4], 'probs': [[0.0028630911838263273, 6.509093850581849e-07, 4.853795417147921e-06, 4.2673596567510685e-07, 0.9971303343772888, 7.53732820157893e-07]], 'pred_prompt': ['A micrograph stained with Wright-Giemsa.']}",none,none,none,none,none,none
7,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with Giemsa.', 'A microscopy image stained with Papanicolaou.', 'A microscopy image stained with Toluidine Blue.', 'A microscopy image stained with H&E.', 'A microscopy image stained with Wright-Giemsa.', 'none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,A microscopy image stained with Giemsa.,0,"{'pred': [4], 'probs': [[0.0043913833796978, 5.25834366271738e-07, 2.2957090550335124e-05, 1.4286009900388308e-05, 0.9955706000328064, 3.8293117654575326e-07]], 'pred_prompt': ['A microscopy image stained with Wright-Giemsa.']}",none,none,none,none,none,none
8,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through light microscopy.', 'A micrograph acquired through electron microscopy.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A micrograph acquired through light microscopy.,1,"{'pred': [1], 'probs': [[0.13919426500797272, 0.49061936140060425, 0.24291080236434937, 0.12727561593055725]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",none,none,none,none,none,none
9,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through light microscopy.', 'A microscopy image obtained through electron microscopy.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A microscopy image obtained through light microscopy.,1,"{'pred': [1], 'probs': [[0.03289661556482315, 0.7053893804550171, 0.2544572651386261, 0.007256800774484873]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",none,none,none,none,none,none
10,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through synthetic.', 'A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A micrograph acquired through brightfield microscopy.,3,"{'pred': [4], 'probs': [[0.1236724853515625, 0.13004817068576813, 0.0004592573386617005, 0.30082136392593384, 0.31557270884513855, 0.12942609190940857]], 'pred_prompt': ['A micrograph acquired through differential interference contrast microscopy.']}",none,none,none,none,none,none
11,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through synthetic.', 'A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A microscopy image obtained through brightfield microscopy.,3,"{'pred': [4], 'probs': [[0.029267443343997, 0.1720367819070816, 0.00015720371447969228, 0.37483230233192444, 0.411532998085022, 0.012173357419669628]], 'pred_prompt': ['A microscopy image obtained through differential interference contrast microscopy.']}",none,none,none,none,none,none
12,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in dermatology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in ophthalmology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in pathology.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,"A micrograph, typically studied in pathology.",4,"{'pred': [1], 'probs': [[2.4444398150080815e-07, 0.9790245294570923, 0.00026971730403602123, 0.02013448067009449, 0.00016010578838177025, 0.0004109090950805694]], 'pred_prompt': ['A micrograph, typically studied in radiology.']}",none,none,none,none,none,none
13,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in dermatology.', 'A microscopy image frequently studied in radiology.', 'A microscopy image frequently studied in ophthalmology.', 'A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in pathology.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A microscopy image frequently studied in pathology.,4,"{'pred': [3], 'probs': [[0.00020163746376056224, 0.38492733240127563, 0.0036789861042052507, 0.5751799941062927, 0.010165389627218246, 0.025846678763628006]], 'pred_prompt': ['A microscopy image frequently studied in biology.']}",none,none,none,none,none,none
14,stain_0,A micrograph stained with {class}.,"['A micrograph stained with synthetic.', 'A micrograph stained with PAS.', 'A micrograph stained with Congo Red.', 'A micrograph stained with Wright-Giemsa.', 'A micrograph stained with Giemsa.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A micrograph stained with Giemsa.,4,"{'pred': [3], 'probs': [[3.0051933208596893e-06, 1.7644765648583416e-06, 1.914062019992002e-09, 0.9957683086395264, 0.004225683398544788, 1.1934855592699023e-06]], 'pred_prompt': ['A micrograph stained with Wright-Giemsa.']}",none,none,none,none,none,none
15,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with synthetic.', 'A microscopy image stained with PAS.', 'A microscopy image stained with Congo Red.', 'A microscopy image stained with Wright-Giemsa.', 'A microscopy image stained with Giemsa.', 'none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,A microscopy image stained with Giemsa.,4,"{'pred': [3], 'probs': [[1.5990689234968158e-06, 3.630338369475794e-06, 8.011708518829153e-10, 0.9939903020858765, 0.006003787741065025, 8.128175750243827e-07]], 'pred_prompt': ['A microscopy image stained with Wright-Giemsa.']}",none,none,none,none,none,none
16,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through electron microscopy.', 'A micrograph acquired through light microscopy.', 'none of the above']",e551d6a5-69bb-4613-b395-42e8c90785f7,A micrograph acquired through light microscopy.,2,"{'pred': [2], 'probs': [[0.1042952761054039, 0.38269874453544617, 0.4546160101890564, 0.058389969170093536]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",none,none,none,none,none,none
17,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through light microscopy.', 'none of the above']",e551d6a5-69bb-4613-b395-42e8c90785f7,A microscopy image obtained through light microscopy.,2,"{'pred': [1], 'probs': [[0.0080088060349226, 0.4982079863548279, 0.4935659170150757, 0.00021729222498834133]], 'pred_prompt': ['A microscopy image obtained through electron microscopy.']}",none,none,none,none,none,none
18,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through mixed.', 'A micrograph acquired through phase contrast microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'none of the above']",e551d6a5-69bb-4613-b395-42e8c90785f7,A micrograph acquired through brightfield microscopy.,3,"{'pred': [2], 'probs': [[0.0059661283157765865, 0.01397337019443512, 0.5435782074928284, 0.20299369096755981, 0.17039842903614044, 0.06309019029140472]], 'pred_prompt': ['A micrograph acquired through phase contrast microscopy.']}",none,none,none,none,none,none
19,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through mixed.', 'A microscopy image obtained through phase contrast microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'none of the above']",e551d6a5-69bb-4613-b395-42e8c90785f7,A microscopy image obtained through brightfield microscopy.,3,"{'pred': [2], 'probs': [[0.0015437147812917829, 0.009151377715170383, 0.4051348865032196, 0.37832367420196533, 0.20421025156974792, 0.0016360922018066049]], 'pred_prompt': ['A microscopy image obtained through phase contrast microscopy.']}",none,none,none,none,none,none
