question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",554e31b1-5db2-425b-a710-eafa864ea32b,neuropathology,4,"{'pred': [3], 'probs': [[0.0021586313378065825, 0.02583753876388073, 0.03323141112923622, 0.5348475575447083, 0.40361636877059937, 0.0003085017087869346]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gynecologic pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7f8f8a3a-b97d-4291-b751-329c4174c70c,neuropathology,1,"{'pred': [1], 'probs': [[0.1971183568239212, 0.4302825629711151, 0.37096214294433594, 0.0004545436822809279, 0.0005194161785766482, 0.00066292320843786]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e54e0ced-a31f-4ad4-9b5d-446b99bd089a,neuropathology,0,"{'pred': [0], 'probs': [[0.644996166229248, 2.8380247385939583e-05, 0.3301539421081543, 0.002526390366256237, 0.02204573154449463, 0.00024929989012889564]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f449e7ef-047a-422d-b46e-a29f65577dbf,brightfield microscopy,4,"{'pred': [4], 'probs': [[7.98077235231176e-05, 2.301255335623864e-06, 3.7590940337395296e-05, 0.0007251971983350813, 0.9991495609283447, 5.549329216592014e-06]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",a492a6e4-04f0-4831-a299-cc462a47d15a,light microscopy,2,"{'pred': [2], 'probs': [[1.4955620827095117e-05, 1.59645096573513e-05, 0.9997757077217102, 0.00019347562920302153]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",7df4aaed-7e5f-49c6-8170-3a4d0d5754a9,pathology,0,"{'pred': [0], 'probs': [[0.9634181261062622, 5.9767780840047635e-06, 0.03587156906723976, 4.3289770701449015e-07, 0.0006941096507944167, 9.7502497737878e-06]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",da6f434b-8e20-4ec0-bb9c-d5d2a25ee9f1,neuropathology,4,"{'pred': [4], 'probs': [[3.746070120769218e-08, 0.006900089792907238, 0.029693126678466797, 0.0002753920271061361, 0.9600799083709717, 0.0030514895915985107]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",623750fb-8580-4d14-8f94-9612d4712b79,pathology,0,"{'pred': [0], 'probs': [[0.9810038208961487, 1.2646602272070595e-06, 0.013301379047334194, 9.518230217508972e-05, 0.005446051247417927, 0.00015227416588459164]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",16bd85fa-fe49-45f6-8bf1-ac3b4414ec2c,neuropathology,4,"{'pred': [4], 'probs': [[0.11173967272043228, 0.06423477828502655, 0.004327624570578337, 0.009225409477949142, 0.8104196786880493, 5.281825360725634e-05]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,neuropathology,3,"{'pred': [1], 'probs': [[5.811947367817538e-09, 0.7399418950080872, 0.00013239927648101002, 0.25644630193710327, 0.0033418014645576477, 0.00013756545376963913]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? autopsy pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",99eb5c41-5b85-455a-a2a2-bfd2700bfb2e,pathology,3,"{'pred': [3], 'probs': [[0.0007126375567167997, 2.431876418995671e-05, 0.01602093130350113, 0.9832114577293396, 2.7220623906032415e-06, 2.7912728910450824e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",e9bd085e-f4a8-4aaa-8e3e-f5adebc69f80,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.998981773853302, 5.106804565002676e-06, 0.00022496431483887136, 0.0006367211462929845, 0.0001390858815284446, 1.2338477063167375e-05]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? none of the above']",4710fc7e-d03c-444d-9d15-ef542863cbdf,IHC(HDab),1,"{'pred': [1], 'probs': [[1.2069555850757752e-05, 0.5919607877731323, 0.029370589181780815, 0.00021462196309585124, 0.3783876597881317, 5.435235652839765e-05]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",33383d47-a79b-4a58-963a-c7ff9c7f0aa6,pathology,2,"{'pred': [2], 'probs': [[0.0002607111819088459, 1.5599349353578873e-05, 0.9571612477302551, 1.73155592619878e-06, 0.04166581854224205, 0.0008948688628152013]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? nephropathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7490a797-d702-45e0-90df-5a76d1caf117,neuropathology,1,"{'pred': [1], 'probs': [[0.0010337502462789416, 0.982269287109375, 0.00011275043652858585, 0.00011593258386710659, 0.01632182113826275, 0.00014643711620010436]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",a7a81157-09d8-4f27-a201-5bdf050faac5,pathology,0,"{'pred': [0], 'probs': [[0.9971171617507935, 3.439228521529003e-06, 0.0014160954160615802, 2.442295226501301e-06, 0.0014265597565099597, 3.439062857069075e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",9e183d96-4124-4966-ae17-4d405ea66a83,pathology,4,"{'pred': [4], 'probs': [[3.9702017602394335e-06, 6.229035420801665e-07, 0.0005515318480320275, 5.861612953594886e-05, 0.999165415763855, 0.0002200092130806297]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",b1568663-c824-44b9-b00c-5967561f9734,light microscopy,2,"{'pred': [2], 'probs': [[4.210476981825195e-05, 7.801340871083084e-06, 0.9996875524520874, 0.0002626536297611892]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",01f63b4c-32a5-4d5f-ad74-55ad353b423d,pathology,0,"{'pred': [0], 'probs': [[0.810671329498291, 8.3549934970506e-08, 0.18406732380390167, 0.005220463033765554, 6.2505937421519775e-06, 3.452674354775809e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",1cc9c2d4-6fab-494b-b5bd-d3ad946f3466,brightfield microscopy,1,"{'pred': [1], 'probs': [[0.0006144549115560949, 0.9992225170135498, 0.000132938424940221, 1.5580759281874634e-05, 4.774908575200243e-06, 9.615234375814907e-06]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
