question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",5fb543f5-e413-4f26-b8ed-852e8ae68626,pathology,3,"{'pred': [1], 'probs': [[0.00013630154717247933, 0.6163275837898254, 0.009387848898768425, 0.3720461428165436, 0.0010873734718188643, 0.0010147099383175373]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? dermatology']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",36eb1a59-aa84-4be6-a0ac-91664950d16f,brightfield microscopy,4,"{'pred': [3], 'probs': [[0.0001059524729498662, 0.10561931133270264, 0.06031129136681557, 0.4849313497543335, 0.017235828563570976, 0.3317963182926178]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? mixed']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",cf9a3948-5120-4bd7-9f14-bc90d4268897,pathology,4,"{'pred': [1], 'probs': [[0.025564176961779594, 0.6817715764045715, 0.007494003511965275, 0.0020609984640032053, 0.09842291474342346, 0.1846863031387329]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",5cfb945d-79ab-4464-8360-04ab78d86faa,pathology,0,"{'pred': [0], 'probs': [[0.6034632921218872, 0.04251030087471008, 0.0005270956899039447, 0.03305632248520851, 0.3165975511074066, 0.0038454458117485046]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",f1ec3a21-da24-4787-8333-988453cf22af,hematopathology,3,"{'pred': [4], 'probs': [[0.0761820375919342, 0.04201943054795265, 0.00034802290610969067, 0.05738600715994835, 0.4946787655353546, 0.3293856978416443]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? surgical pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? none of the above']",5cfb945d-79ab-4464-8360-04ab78d86faa,Giemsa,2,"{'pred': [4], 'probs': [[0.00020594328816514462, 0.0002547783951740712, 0.045830562710762024, 0.23145852982997894, 0.7115310430526733, 0.010719132609665394]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Gram']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",5da77017-d6f2-4be4-afae-403b4b1d3e30,light microscopy,2,"{'pred': [3], 'probs': [[0.02260315790772438, 0.008981539867818356, 0.19251641631126404, 0.7758988738059998]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",f9b23de2-0ca1-44bb-ba6b-23e28c66f66d,pathology,2,"{'pred': [0], 'probs': [[0.8872010111808777, 2.107407635776326e-05, 0.10401429235935211, 2.355669130338356e-05, 0.007154243532568216, 0.0015857850667089224]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",bb3b2e1c-034f-4d53-a032-ab33128fa616,hematopathology,3,"{'pred': [0], 'probs': [[0.4314906895160675, 0.0007847791421227157, 0.4004330337047577, 0.08783821761608124, 0.050356943160295486, 0.029096432030200958]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? clinical pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",251fa825-40aa-49e6-adc0-c6699c96b854,brightfield microscopy,2,"{'pred': [5], 'probs': [[0.22043535113334656, 0.006115524098277092, 0.018630042672157288, 0.08714259415864944, 0.2454986572265625, 0.42217785120010376]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
