question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",5fb543f5-e413-4f26-b8ed-852e8ae68626,pathology,3,"{'pred': [5], 'probs': [[0.019523942843079567, 0.027522722259163857, 0.0001840428012656048, 0.28988635540008545, 0.0001322865136899054, 0.6627507209777832]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",36eb1a59-aa84-4be6-a0ac-91664950d16f,brightfield microscopy,4,"{'pred': [4], 'probs': [[0.00259864772669971, 0.0679808259010315, 0.18198825418949127, 0.1955169439315796, 0.285684198141098, 0.26623108983039856]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",cf9a3948-5120-4bd7-9f14-bc90d4268897,pathology,4,"{'pred': [1], 'probs': [[0.00764091033488512, 0.8046010732650757, 4.448134859558195e-05, 0.00013656682858709246, 0.05805499106645584, 0.12952196598052979]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",5cfb945d-79ab-4464-8360-04ab78d86faa,pathology,0,"{'pred': [0], 'probs': [[0.7410498261451721, 0.00013375823618844151, 0.0003036528069060296, 0.01649630255997181, 0.20371116697788239, 0.038305263966321945]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",f1ec3a21-da24-4787-8333-988453cf22af,hematopathology,3,"{'pred': [3], 'probs': [[1.8216876924270764e-05, 3.614934394136071e-05, 3.638245107140392e-05, 0.9108595848083496, 0.0004097775381524116, 0.08863985538482666]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? none of the above']",5cfb945d-79ab-4464-8360-04ab78d86faa,Giemsa,2,"{'pred': [3], 'probs': [[3.447397375566652e-06, 1.4860755470635922e-07, 0.009744645096361637, 0.9861628413200378, 0.004087899811565876, 1.0250021205138182e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Wright-Giemsa']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",5da77017-d6f2-4be4-afae-403b4b1d3e30,light microscopy,2,"{'pred': [2], 'probs': [[0.017433634027838707, 0.0001983752881642431, 0.9749742150306702, 0.007393687032163143]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",f9b23de2-0ca1-44bb-ba6b-23e28c66f66d,pathology,2,"{'pred': [0], 'probs': [[0.5918965935707092, 0.00012690639414358884, 0.1941508650779724, 2.774622089418699e-06, 0.00011669954983517528, 0.2137061357498169]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",bb3b2e1c-034f-4d53-a032-ab33128fa616,hematopathology,3,"{'pred': [3], 'probs': [[0.01554118748754263, 3.758160164579749e-05, 0.0366547554731369, 0.8895061016082764, 0.0003666576521936804, 0.05789371579885483]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",251fa825-40aa-49e6-adc0-c6699c96b854,brightfield microscopy,2,"{'pred': [0], 'probs': [[0.5205681324005127, 0.035668645054101944, 0.2087598443031311, 0.05477745085954666, 0.014558053575456142, 0.16566789150238037]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
