question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.9999997615814209, 2.034862660593717e-07, 1.2135430681181614e-11, 1.7729311074798915e-10, 1.6873565465333994e-14, 1.6153089828311326e-15]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [1], 'probs': [[1.4046155723113746e-15, 1.0, 1.061974671373347e-17, 1.900679332609892e-16, 5.761188823165506e-16, 5.734577826643399e-21]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [3], 'probs': [[5.350701029168195e-14, 8.033035174548342e-12, 1.257495690252196e-15, 1.0, 2.2314988398774993e-11, 2.1695971842011774e-12]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [1], 'probs': [[6.302835264473819e-15, 1.0, 1.9486081043011694e-13, 8.892750901975943e-14, 2.84780743908461e-14, 3.170275931422932e-14]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [0], 'probs': [[1.0, 5.917322742909903e-10, 4.313693569013566e-10, 3.949564633676239e-12, 1.4142134685535268e-10, 1.0497685891137226e-13]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [1], 'probs': [[3.688246583144483e-11, 1.0, 7.536621882131556e-10, 1.4782503563251503e-12]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [2], 'probs': [[2.663162579352729e-09, 2.1583231035737782e-10, 1.0, 3.0364002978622295e-10, 1.674675502438827e-11, 5.307176226265753e-11]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [0], 'probs': [[1.0, 1.9624072874514786e-14, 8.945163267872966e-14, 6.140929914100549e-14, 3.982965758424217e-15, 1.454299327447936e-13]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [1], 'probs': [[1.793115047448498e-14, 1.0, 2.0252580808146486e-13, 2.880372264486841e-13, 1.775690326114715e-13, 3.394072878109243e-15]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [0], 'probs': [[1.0, 2.4048874003312903e-10, 2.0525952465488828e-11, 1.4275463623703022e-11]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
