question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.9333342909812927, 3.3457388781243935e-05, 0.0005462232511490583, 1.722153974981211e-08, 0.003993856254965067, 0.062092140316963196]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [4], 'probs': [[0.0019210489699617028, 0.19546741247177124, 0.07005617022514343, 0.11456074565649033, 0.5922402143478394, 0.02575438655912876]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? surgical pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [3], 'probs': [[2.765853605524171e-05, 0.04021897166967392, 1.763861945391909e-07, 0.41925281286239624, 0.26376408338546753, 0.2767362892627716]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [1], 'probs': [[1.2100135791115463e-05, 0.9591812491416931, 0.0006658519268967211, 0.012366728857159615, 3.263254939156468e-06, 0.02777084708213806]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.625568687915802, 0.0005725212977267802, 0.11188501864671707, 0.1792294681072235, 0.03915536031126976, 0.04358891025185585]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [1], 'probs': [[1.5309855371015146e-05, 0.9603290557861328, 0.02054344303905964, 0.01911207102239132]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [5], 'probs': [[0.18142561614513397, 3.744016066775657e-05, 0.1419808566570282, 0.1818930208683014, 0.0006339012179523706, 0.4940291941165924]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [5], 'probs': [[0.16591286659240723, 0.00010821497562574223, 0.0018502403981983662, 8.121698556351475e-06, 0.09342759847640991, 0.7386929988861084]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [4], 'probs': [[0.07813449949026108, 0.19364310801029205, 0.023183505982160568, 0.05833905190229416, 0.41423556208610535, 0.23246438801288605]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? mixed']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [0], 'probs': [[0.9973828196525574, 0.0004488537088036537, 1.1784817615989596e-05, 0.0021565614733844995]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",039eb7cb-ee75-42df-ab94-8bb8611631f4,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.7790626883506775, 0.0034999658819288015, 0.002542181173339486, 0.00415274640545249, 0.061058394610881805, 0.14968405663967133]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",8245586a-f316-4462-a81a-c548d1da6506,Giemsa,4,"{'pred': [4], 'probs': [[0.008894219063222408, 0.0001930845610331744, 8.14917768821033e-07, 0.42054489254951477, 0.5703597068786621, 7.309157808776945e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Giemsa']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",59bfd3fd-9ac8-471d-bdfc-0dd9be1c6c20,hematopathology,4,"{'pred': [4], 'probs': [[0.055284880101680756, 8.58093517308589e-06, 0.06885513663291931, 0.051567163318395615, 0.5297596454620361, 0.29452458024024963]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? dermatopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",603b8f30-2e98-43f7-9184-7e4a8daaafc1,cardiovascular pathology,3,"{'pred': [3], 'probs': [[0.00016829599917400628, 0.014245565049350262, 0.01773582398891449, 0.9189290404319763, 0.046588312834501266, 0.0023329390678554773]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? none of the above']",15ae7afd-9749-41f2-af95-1032bc9c8438,H&E,4,"{'pred': [1], 'probs': [[0.2909969687461853, 0.5899528861045837, 0.0005870403838343918, 0.09670475125312805, 0.0029490964952856302, 0.018809285014867783]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(Red)']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",10573b8d-7454-4402-a2fe-3f6f136df6f8,pathology,2,"{'pred': [4], 'probs': [[6.835028034402058e-05, 0.00018765940330922604, 0.1492752879858017, 0.0006481493473984301, 0.5038613080978394, 0.3459591567516327]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",9c878b6c-635a-4ffe-af81-13c25630ec1d,light microscopy,2,"{'pred': [2], 'probs': [[2.7918275009142235e-05, 0.0068323793821036816, 0.9891849756240845, 0.00395467784255743]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",560bf40f-5e65-4c0c-8e1e-bdcc552120c1,pathology,1,"{'pred': [1], 'probs': [[2.1620621737383772e-07, 0.43001478910446167, 0.06318303942680359, 0.28494542837142944, 0.017292993143200874, 0.20456355810165405]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? none of the above']",6e7d3f29-19e0-4406-8015-e1f30a0c4147,H&E,4,"{'pred': [4], 'probs': [[0.46412456035614014, 5.7153880334226415e-05, 0.0031619558576494455, 0.003517587436363101, 0.49539420008659363, 0.03374454751610756]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",235009e6-16fc-44c5-a28c-4208309645a2,hematopathology,0,"{'pred': [0], 'probs': [[0.7953256964683533, 0.00547606498003006, 0.007061161566525698, 0.001449867500923574, 0.042560141533613205, 0.14812706410884857]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",4d8fbe1d-5d71-49cd-8413-6c42f04faa85,light microscopy,0,"{'pred': [0], 'probs': [[0.9740120768547058, 5.182399763725698e-05, 0.016700854524970055, 0.009235181845724583]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
