question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",1c516f98-6914-44ee-83e5-d0428bd34680,lymphocytes,4,"{'pred': [4], 'probs': [[4.588962809748409e-08, 4.346679904898565e-09, 3.8128580399643397e-06, 8.227852049458306e-06, 0.9999879598617554, 9.207957174517389e-10]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",877c67a6-c308-4189-b489-3a1b37c51f36,smooth muscle,1,"{'pred': [1], 'probs': [[0.013941947370767593, 0.986056923866272, 1.0510852916922886e-06, 1.3746878835263487e-07, 8.070741408516824e-09, 2.4697892619940376e-09]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",512608ff-a3c3-4c4c-90b7-2927eef28785,normal colon mucosa,3,"{'pred': [3], 'probs': [[5.292507543330771e-10, 5.504851241511233e-09, 1.8839766653400147e-06, 0.9999973773956299, 7.610196917084977e-07, 1.784959513528861e-09]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",9325e3ca-c520-406b-91a9-e721a0349c55,colorectal adenocarcinoma epithelium,3,"{'pred': [3], 'probs': [[7.222423614033913e-12, 3.069556342438773e-08, 2.1857476895092987e-05, 0.9999780654907227, 3.195383735388191e-09, 6.103413596747487e-08]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? immune cells', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? tumor epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose tissue', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris and mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",b1e8be1b-8b48-4668-9eec-42d8ca2a43ad,background,4,"{'pred': [4], 'probs': [[0.00043252433533780277, 1.8133338016923517e-05, 5.697569577023387e-05, 3.5823925372824306e-06, 0.9993960857391357, 9.281308302888647e-05]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",bbcb7905-c8d4-4e04-96ac-a5fbcabc7c97,debris,4,"{'pred': [4], 'probs': [[4.7461967689343965e-09, 8.482174962409772e-06, 3.735983000296983e-06, 3.0283779324236093e-06, 0.999984622001648, 1.4634805722835154e-07]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",8d54896c-4df8-45a6-89fd-40d9b2e896f8,normal colon mucosa,3,"{'pred': [3], 'probs': [[6.709265562676592e-06, 1.84060255037366e-07, 5.677427949990488e-08, 0.9999929666519165, 8.206190393877932e-09, 3.616066557299291e-09]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",eb2c8eba-e31b-4d03-af0f-af2fe37ecc1e,adipose,1,"{'pred': [1], 'probs': [[0.0008021524990908802, 0.9991936087608337, 1.771994675436872e-07, 1.708394165689242e-06, 1.6717046946723713e-07, 2.219030648120679e-06]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? normal colon mucosa', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",3a87beda-91f7-4bd2-8b44-ebd949a1cab0,lymphocytes,2,"{'pred': [2], 'probs': [[2.257936830574181e-05, 6.409927522099679e-08, 0.9999570846557617, 2.3995933133846847e-06, 1.786982647900004e-05, 1.3468420156925731e-08]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? colorectal adenocarcinoma epithelium', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? mucus', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",1e4cb197-5959-4146-bdb4-5e7218746f12,lymphocytes,4,"{'pred': [4], 'probs': [[0.0031820654403418303, 3.939454984447366e-08, 2.8796131346098264e-07, 0.00018189044203609228, 0.9966357350349426, 5.497703625678696e-08]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? lymphocytes']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
classification,"['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? background', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? debris', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? adipose', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? smooth muscle', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma', 'H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? none of the above']",8d4c8940-7998-4c69-a137-b7a4a938f28c,cancer-associated stroma,4,"{'pred': [4], 'probs': [[1.664208184593008e-06, 0.00039918741094879806, 2.7813895631112473e-10, 0.40484681725502014, 0.5947520732879639, 2.4715873792047205e-07]], 'pred_prompt': ['H&E stained light micrograph of human colorectal tissue. Based on the image, what is the most likely texture class? cancer-associated stroma']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
