question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.9478810429573059, 5.945574594079517e-05, 0.0006261111702769995, 1.7014814446270066e-08, 0.0036496110260486603, 0.04778367280960083]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [4], 'probs': [[0.002115742303431034, 0.20786288380622864, 0.07405771315097809, 0.12449806183576584, 0.5654923915863037, 0.025973260402679443]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? surgical pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [5], 'probs': [[3.771555202547461e-05, 0.03740355372428894, 2.591264660622983e-07, 0.28122442960739136, 0.31362083554267883, 0.36771321296691895]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [1], 'probs': [[1.597309710632544e-05, 0.9298496842384338, 0.000797974644228816, 0.023543432354927063, 4.627497219189536e-06, 0.04578831419348717]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.4721127152442932, 0.0006107509252615273, 0.10357616096735, 0.30992570519447327, 0.04785676673054695, 0.06591793149709702]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [1], 'probs': [[3.3023763535311446e-05, 0.9072806239128113, 0.05008145794272423, 0.042604878544807434]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [5], 'probs': [[0.19336813688278198, 4.636590165318921e-05, 0.13650192320346832, 0.23007269203662872, 0.0007543493993580341, 0.43925660848617554]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [5], 'probs': [[0.15519092977046967, 0.0001669328339630738, 0.002293255878612399, 1.1031539543182589e-05, 0.14553499221801758, 0.6968027949333191]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [4], 'probs': [[0.046004656702280045, 0.10858279466629028, 0.021931178867816925, 0.045357901602983475, 0.5821407437324524, 0.1959826946258545]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? mixed']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [0], 'probs': [[0.9911234378814697, 0.0012958301231265068, 2.984822276630439e-05, 0.007550826761871576]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
