question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",9ddce60c-d922-45b2-a48b-ad0a91d0b54a,brightfield microscopy,3,"{'pred': [3], 'probs': [[1.9801341011316254e-07, 5.978743047307944e-06, 1.9712567791430047e-06, 0.9999881982803345, 3.227929937565932e-06, 4.3244159542155103e-07]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e710f4c1-4756-4ab2-a26d-5ed09678c02b,pathology,3,"{'pred': [3], 'probs': [[0.008146311156451702, 8.646173228044063e-06, 6.885315087856725e-06, 0.8741492629051208, 0.11750444769859314, 0.00018443049339111894]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",d10192ff-832e-47ff-8e87-b5596c0dc0bf,light microscopy,2,"{'pred': [2], 'probs': [[1.8181721316068433e-05, 1.27310244124601e-07, 0.9999815225601196, 1.319238407404555e-07]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",df9339a1-aae5-465c-bba8-2b515e49104d,H&E,3,"{'pred': [1], 'probs': [[4.461227581487037e-05, 0.9113532900810242, 0.0006088701193220913, 0.017634186893701553, 0.06332533806562424, 0.007033633068203926]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? PAS']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",8971281f-d1c3-4d64-ada9-83a196e25679,light microscopy,0,"{'pred': [0], 'probs': [[0.9999681711196899, 6.971058752469617e-08, 3.1704315915703773e-05, 8.216045443987241e-08]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",32cc83d0-bcf1-4e5e-a9ea-11c2a5d373fc,H&E,0,"{'pred': [0], 'probs': [[0.9999456405639648, 3.7470716051757336e-05, 6.542058144987095e-06, 3.6109571510678506e-07, 5.9507638070499524e-06, 4.064203039888525e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",d643d0c1-ad14-4b73-94f9-1b4359897079,pathology,2,"{'pred': [2], 'probs': [[3.2878540423553204e-06, 1.9806891486950917e-06, 0.987461268901825, 0.012528489343822002, 1.1795643928280697e-07, 4.7795765567570925e-06]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",92fd074e-29a7-4ace-9e76-cd6c0bc90a2d,pathology,4,"{'pred': [4], 'probs': [[5.357438567443751e-05, 8.828057929122224e-08, 4.587083822116256e-06, 7.730575453024358e-05, 0.9998024106025696, 6.21125363977626e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6ba74832-7f5d-47e7-9ae0-d1f2644c929c,gastrointestinal pathology,4,"{'pred': [3], 'probs': [[0.09074312448501587, 0.3826233446598053, 0.005389523226767778, 0.4293653964996338, 0.0889204666018486, 0.0029581303242594004]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? oral pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",980a29d5-d294-4343-afa0-d01742f8101a,gastrointestinal pathology,1,"{'pred': [3], 'probs': [[0.3334702253341675, 0.0006495594279840589, 0.08098768442869186, 0.35353392362594604, 0.06004493311047554, 0.17131362855434418]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? pancreatic pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
