question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",ff0f7880-345b-4c2c-ac0d-274326b0eda0,pathology,3,"{'pred': [3], 'probs': [[5.045891482424736e-10, 1.8858725070458604e-07, 9.032333281311367e-08, 0.9999995231628418, 1.33569201921091e-07, 8.45357028822491e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",56a8310c-dd07-4e07-b38c-63ce28384489,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.9999997615814209, 7.011520253286108e-09, 2.033632569009569e-07, 2.2644248698355796e-09, 2.5682746402667933e-13, 7.792672757078734e-12]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
classification,"['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Cored', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Diffuse', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Caa', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Negative', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? none of the above']",56a8310c-dd07-4e07-b38c-63ce28384489,Caa,2,"{'pred': [3], 'probs': [[0.011414771899580956, 0.03252187743782997, 0.35137465596199036, 0.604631781578064, 5.694904757547192e-05]], 'pred_prompt': ['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Negative']}",2.0,,,,,
classification,"['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Negative', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Caa', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Diffuse', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Cored', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? none of the above']",c8366e95-b85f-4654-81dc-16bda0e3b695,Caa,1,"{'pred': [1], 'probs': [[0.0069022104144096375, 0.9930760860443115, 6.834576197434217e-06, 1.3035045412834734e-05, 1.8890991668740753e-06]], 'pred_prompt': ['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Caa']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",c541cb00-1223-4188-b7e5-3aafc63b876c,pathology,1,"{'pred': [1], 'probs': [[2.8293092313447232e-09, 1.0, 1.0130425387444575e-08, 9.957800806148498e-09, 3.611771859368673e-08, 2.2654868259142091e-10]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
classification,"['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Negative', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Caa', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Cored', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Diffuse', 'IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? none of the above']",dfa8385e-7b49-4e43-bcf3-bc3aca9727c5,Cored,2,"{'pred': [2], 'probs': [[0.001515967771410942, 0.004986277781426907, 0.9229788780212402, 0.07035457342863083, 0.00016427064838353544]], 'pred_prompt': ['IHC stained light micrograph of extracellular amyloid-beta deposition in the human brain tissue. Based on the image, what is the most likely amyloid beta morphology pattern? Cored']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",1c976a3b-d8b9-4276-bffd-2311a42f0c0d,pathology,3,"{'pred': [3], 'probs': [[8.389851480217203e-09, 1.536233895649275e-07, 5.056445040452218e-09, 0.9999998807907104, 1.9488954450253004e-08, 6.527181573012797e-10]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",4ff4d9a8-1fd3-4359-8cfb-2d8ced473a25,brightfield microscopy,4,"{'pred': [4], 'probs': [[3.767463141457483e-08, 3.41182789485861e-12, 6.133831220722641e-07, 8.437670118155438e-09, 0.9999994039535522, 1.594174098284995e-11]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",91493003-eb7f-4d1e-a55a-c71f84ddfa00,brightfield microscopy,3,"{'pred': [3], 'probs': [[3.9046164602041245e-05, 5.641376219500671e-07, 1.3058355534667498e-06, 0.9997983574867249, 0.00016069055709522218, 1.4939537384961454e-09]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",855bf027-2a7d-41ef-9fad-a8af6b37845a,brightfield microscopy,2,"{'pred': [2], 'probs': [[8.444385468653337e-11, 3.1194165472925306e-08, 0.9999986886978149, 1.3985082603085175e-07, 1.2493903795984806e-06, 6.887654890874728e-10]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",63f8b3c5-bc77-4c46-a6fe-3754394b061d,pathology,0,"{'pred': [0], 'probs': [[1.0, 1.5295771760293064e-08, 9.714238302649392e-10, 1.793312165432326e-08, 5.180296636098092e-09, 2.6419877396932634e-10]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? none of the above']",b43cd9e3-baa2-4bef-b2c3-d40e1a5188cf,IHC(Red),0,"{'pred': [0], 'probs': [[1.0, 2.0087636415366816e-11, 2.858551839679535e-09, 3.486140265351878e-10, 1.5538690334437888e-08, 6.31210639312485e-09]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(Red)']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",aa6dad98-04d9-4eff-be8f-dae4465075ed,light microscopy,2,"{'pred': [2], 'probs': [[4.129683262021899e-09, 9.825771307703235e-09, 1.0, 1.3281296201705928e-11]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? dermatopathology', 'What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7e29a212-6f0b-4755-8143-e0a8bc12eea5,neuropathology,4,"{'pred': [4], 'probs': [[2.0912318632326787e-06, 5.480477582864296e-08, 2.574002566646527e-09, 7.939491553088374e-08, 0.9999977350234985, 2.7070640867821183e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",2.0,,,,,
