question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",24a99976-a575-4209-b438-91c6f33da2dc,cardiovascular pathology,2,"{'pred': [1], 'probs': [[0.17703445255756378, 0.6758863925933838, 0.09839243441820145, 0.03944488242268562, 0.0029981692787259817, 0.0062437211163342]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? genitourinary pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",11afdc85-dd86-4143-aa78-58686f9e36ea,brightfield microscopy,1,"{'pred': [4], 'probs': [[0.08239411562681198, 0.12179475277662277, 0.09349110722541809, 0.27639228105545044, 0.3661644458770752, 0.05976325273513794]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? none of the above']",90725353-0973-4e30-b294-44182876a34d,H&E,2,"{'pred': [5], 'probs': [[0.16805598139762878, 0.015539990738034248, 0.011306537315249443, 0.0012737129582092166, 0.1798684000968933, 0.6239554286003113]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? none of the above']}",2.0,,,,,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? nephropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",110cb51b-1ad7-45dc-87dd-4e190534b69f,cardiovascular pathology,0,"{'pred': [0], 'probs': [[0.9852982759475708, 0.0110781854018569, 3.9735608879709616e-05, 0.0003802753344643861, 2.3892109311418608e-05, 0.0031796791590750217]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",1de96680-d832-4691-a6ff-8ae1652f21c3,pathology,4,"{'pred': [5], 'probs': [[0.014663703739643097, 0.04925401136279106, 0.003021982964128256, 0.0022513738367706537, 0.02381659485399723, 0.9069923162460327]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",c4a63162-3e0d-465c-af2a-36de33dd630d,H&E,1,"{'pred': [3], 'probs': [[0.03203224763274193, 0.010654870420694351, 0.23305480182170868, 0.6542581915855408, 0.007555545773357153, 0.06244436651468277]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Masson Trichrome']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",e035efd0-fbad-4e2a-afc4-255033cc39b2,light microscopy,1,"{'pred': [3], 'probs': [[0.022596362978219986, 0.008149226196110249, 0.01790245622396469, 0.9513520002365112]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f17faa97-b7e6-459b-a874-6a6ac7e9a5c1,brightfield microscopy,4,"{'pred': [0], 'probs': [[0.4068198800086975, 0.08537326753139496, 0.05082424357533455, 0.2600783407688141, 0.05023738741874695, 0.1466667801141739]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",2.0,,,,,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",c4a63162-3e0d-465c-af2a-36de33dd630d,cardiovascular pathology,0,"{'pred': [2], 'probs': [[0.00602451479062438, 0.0024951742962002754, 0.816539466381073, 0.16312064230442047, 0.00011727783567039296, 0.011702903546392918]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? genitourinary pathology']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",de0e116c-0bb0-4f86-a198-9286c7e4e355,pathology,3,"{'pred': [5], 'probs': [[0.04204600676894188, 0.0027044829912483692, 0.002101670717820525, 0.01187855750322342, 0.043001655489206314, 0.8982676267623901]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",2.0,,,,,
