,question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,pathology,1,"{'pred': [1], 'probs': [[0.0024294881150126457, 0.8960421681404114, 0.00010912482684943825, 0.07836102694272995, 1.1268006346654147e-05, 0.02304682508111]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
1,modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,light microscopy,0,"{'pred': [0], 'probs': [[0.7730535864830017, 0.000610346207395196, 0.05692726746201515, 0.16940875351428986]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
2,stain,"['What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,H&E,1,"{'pred': [4], 'probs': [[0.05518387630581856, 0.11456839740276337, 3.453293538768776e-05, 0.2712605893611908, 0.4070185720920563, 0.15193399786949158]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(Red)']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
3,subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,cardiovascular pathology,0,"{'pred': [4], 'probs': [[0.2892051637172699, 0.00027874630177393556, 0.05514589697122574, 0.0003704746486619115, 0.6141912937164307, 0.04080849140882492]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? endocrine pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
4,submodality,"['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,brightfield microscopy,1,"{'pred': [0], 'probs': [[0.7854409217834473, 0.1021648496389389, 0.003150312462821603, 0.006469214800745249, 0.01242531556636095, 0.09034934639930725]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
5,domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,pathology,2,"{'pred': [2], 'probs': [[0.050529319792985916, 0.0002899013052228838, 0.9226933717727661, 2.638351907080505e-05, 0.0005268140812404454, 0.02593417651951313]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
6,modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,light microscopy,0,"{'pred': [0], 'probs': [[0.9759173393249512, 0.0034219620283693075, 0.0003443113237153739, 0.020316308364272118]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
7,stain,"['What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,H&E,4,"{'pred': [4], 'probs': [[0.002915944904088974, 0.22537599503993988, 0.04179411008954048, 0.0007049188716337085, 0.5174616575241089, 0.211747407913208]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
8,subdomain,"['What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,cardiovascular pathology,1,"{'pred': [0], 'probs': [[0.5513457655906677, 0.3529723584651947, 1.3739007954427507e-05, 0.018853172659873962, 0.05626145750284195, 0.02055348828434944]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? molecular pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
9,submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,brightfield microscopy,2,"{'pred': [2], 'probs': [[0.03963840380311012, 0.0358550101518631, 0.6872158646583557, 0.011995227076113224, 0.012221131473779678, 0.21307437121868134]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
10,domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,pathology,0,"{'pred': [0], 'probs': [[0.9295811057090759, 0.0005442373803816736, 0.04481794312596321, 0.00032786536030471325, 3.958310480811633e-05, 0.024689339101314545]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
11,modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,light microscopy,2,"{'pred': [2], 'probs': [[0.00020284480706322938, 0.013263782486319542, 0.9492540955543518, 0.037279170006513596]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
12,stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,H&E,0,"{'pred': [0], 'probs': [[0.3449278771877289, 0.002177738817408681, 0.1592458337545395, 0.0754498690366745, 0.2981204390525818, 0.12007832527160645]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
13,subdomain,"['What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,cardiovascular pathology,1,"{'pred': [3], 'probs': [[0.002112551126629114, 0.21518583595752716, 0.2335401475429535, 0.5368757247924805, 0.006393341813236475, 0.005892395507544279]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
14,submodality,"['What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",02bf6398-5f9a-479a-9359-8182ff96ce43,brightfield microscopy,3,"{'pred': [1], 'probs': [[0.031038451939821243, 0.8005013465881348, 0.0011277111480012536, 0.12021274864673615, 0.002509717596694827, 0.044610027223825455]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
15,domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,pathology,1,"{'pred': [1], 'probs': [[0.15442784130573273, 0.8060879111289978, 3.686718628159724e-05, 6.951505383767653e-06, 0.00023295490245800465, 0.039207492023706436]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
16,modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,light microscopy,0,"{'pred': [0], 'probs': [[0.9926263689994812, 4.612118937075138e-05, 0.0012837242102250457, 0.006043749395757914]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
17,stain,"['What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,H&E,1,"{'pred': [2], 'probs': [[6.205680983839557e-05, 0.3983190357685089, 0.531970739364624, 0.00645879190415144, 0.0016406122595071793, 0.06154884397983551]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? PAS']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
18,subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,cardiovascular pathology,0,"{'pred': [0], 'probs': [[0.5825434923171997, 0.018443811684846878, 0.010979598388075829, 0.013925493694841862, 0.3401408791542053, 0.03396674245595932]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
19,submodality,"['What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",e2c1e384-5e4e-4201-ab96-9dfacf1aad72,brightfield microscopy,3,"{'pred': [1], 'probs': [[0.000470700761070475, 0.9303665161132812, 0.0009514241246506572, 0.0618291012942791, 0.0010193398920819163, 0.005363008473068476]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
20,domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,pathology,0,"{'pred': [0], 'probs': [[0.8226624727249146, 0.001074097235687077, 0.14614130556583405, 0.0014253623085096478, 0.00024187509552575648, 0.028454963117837906]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
21,modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",4741be1b-9ec4-4e28-a36f-885338f343c1,light microscopy,1,"{'pred': [1], 'probs': [[0.004269253462553024, 0.9502469301223755, 0.00023908416915219277, 0.0452447272837162]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
