question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.30458685755729675, 0.06200303137302399, 0.18792292475700378, 0.15180325508117676, 0.11178217828273773, 0.181901752948761]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [2], 'probs': [[0.07887490838766098, 0.1285596787929535, 0.530058741569519, 0.06286806613206863, 0.19801445305347443, 0.0016241588164120913]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? genitourinary pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [3], 'probs': [[0.014129195362329483, 0.07201015204191208, 0.0034312766510993242, 0.8112252950668335, 0.017165008932352066, 0.08203905820846558]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [2], 'probs': [[0.18543687462806702, 0.02152419462800026, 0.3691965937614441, 0.3330543637275696, 0.07262656092643738, 0.01816142164170742]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? dermatology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [1], 'probs': [[0.1955491155385971, 0.23042063415050507, 0.2264983057975769, 0.004359561484307051, 0.2060651034116745, 0.1371072381734848]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [0], 'probs': [[0.5925622582435608, 0.1291140615940094, 0.22018678486347198, 0.0581369549036026]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [5], 'probs': [[0.004951981827616692, 0.0069521693512797356, 0.013616970740258694, 0.13267169892787933, 0.1645253598690033, 0.6772818565368652]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [5], 'probs': [[0.17360371351242065, 0.10630829632282257, 0.03175373375415802, 0.008215483278036118, 0.24892662465572357, 0.4311921000480652]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [3], 'probs': [[0.20343933999538422, 0.2801100015640259, 0.0922146886587143, 0.29424619674682617, 0.0006536512519232929, 0.12933610379695892]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [3], 'probs': [[0.015765858814120293, 0.22405719757080078, 0.10975458472967148, 0.6504223346710205]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",039eb7cb-ee75-42df-ab94-8bb8611631f4,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.6739564538002014, 0.015995606780052185, 0.012306246906518936, 0.06923050433397293, 0.10583259910345078, 0.12267854064702988]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",8245586a-f316-4462-a81a-c548d1da6506,Giemsa,4,"{'pred': [5], 'probs': [[0.0010554995387792587, 0.0006442857556976378, 0.07321850955486298, 0.0017926472937688231, 0.0009650420397520065, 0.922324001789093]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",59bfd3fd-9ac8-471d-bdfc-0dd9be1c6c20,hematopathology,4,"{'pred': [1], 'probs': [[0.003842726116999984, 0.46047523617744446, 0.08774547278881073, 0.010562610812485218, 0.04222676157951355, 0.3951471447944641]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? genitourinary pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? dermatopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",603b8f30-2e98-43f7-9184-7e4a8daaafc1,cardiovascular pathology,3,"{'pred': [3], 'probs': [[7.551931048510596e-05, 0.0020337107125669718, 0.0020037763752043247, 0.9854122996330261, 0.0005551749491132796, 0.00991943571716547]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? none of the above']",15ae7afd-9749-41f2-af95-1032bc9c8438,H&E,4,"{'pred': [3], 'probs': [[0.024671150371432304, 0.01441776379942894, 0.023903844878077507, 0.9306056499481201, 0.0018233167938888073, 0.0045782472006976604]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Masson Trichrome']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",10573b8d-7454-4402-a2fe-3f6f136df6f8,pathology,2,"{'pred': [5], 'probs': [[0.01640710048377514, 0.00963724683970213, 0.059933748096227646, 0.07336681336164474, 0.004197416361421347, 0.8364577293395996]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",9c878b6c-635a-4ffe-af81-13c25630ec1d,light microscopy,2,"{'pred': [3], 'probs': [[0.09270273149013519, 0.11651170253753662, 0.008196992799639702, 0.7825886011123657]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",560bf40f-5e65-4c0c-8e1e-bdcc552120c1,pathology,1,"{'pred': [1], 'probs': [[0.026903318241238594, 0.5232030749320984, 0.21274973452091217, 0.030710404738783836, 0.19855330884456635, 0.007880250923335552]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? none of the above']",6e7d3f29-19e0-4406-8015-e1f30a0c4147,H&E,4,"{'pred': [2], 'probs': [[0.00740156089887023, 0.16738516092300415, 0.7811674475669861, 0.020532460883259773, 0.0030650878325104713, 0.02044825628399849]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Alcian Blue']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",235009e6-16fc-44c5-a28c-4208309645a2,hematopathology,0,"{'pred': [4], 'probs': [[0.06060207635164261, 0.1584433764219284, 0.005053345579653978, 0.044899050146341324, 0.5818135142326355, 0.14918868243694305]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? pancreatic pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",4d8fbe1d-5d71-49cd-8413-6c42f04faa85,light microscopy,0,"{'pred': [3], 'probs': [[0.060501791536808014, 0.09361366927623749, 0.02915542759001255, 0.8167290687561035]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",419dc88f-35fc-41b8-a0f8-9dcc116fda73,light microscopy,2,"{'pred': [1], 'probs': [[0.24450649321079254, 0.4484190344810486, 0.17419631779193878, 0.13287819921970367]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? none of the above']",db53e167-7db5-4ad0-9865-0c77aef31b0e,IHC(HDab),2,"{'pred': [5], 'probs': [[0.03166838362812996, 0.0975211039185524, 0.29699429869651794, 0.04648040235042572, 0.006531597580760717, 0.520804226398468]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? none of the above']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",2b3787c4-9aff-4a25-ab75-ab2fae2670bb,light microscopy,0,"{'pred': [3], 'probs': [[0.03189341351389885, 0.13537435233592987, 0.07498045265674591, 0.7577518224716187]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",1d40b34f-baa4-41d7-a28e-c7cd3babd405,light microscopy,2,"{'pred': [1], 'probs': [[0.057683464139699936, 0.5490508675575256, 0.21827200055122375, 0.1749936044216156]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
