,question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,pathology,1,"{'pred': [0], 'probs': [[0.8446566462516785, 0.05848988890647888, 0.006958757992833853, 0.0005974419764243066, 0.00017165877216029912, 0.08912554383277893]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",none,none,none,none,none,none
1,modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,light microscopy,1,"{'pred': [1], 'probs': [[9.728292934596539e-05, 0.5118570923805237, 0.3791137933731079, 0.10893183201551437]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",none,none,none,none,none,none
2,stain,"['What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,IHC(HDab),3,"{'pred': [3], 'probs': [[6.915318954270333e-05, 8.29846176202409e-05, 1.2546116522571538e-05, 0.7082822918891907, 0.04658103734254837, 0.24497199058532715]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",none,none,none,none,none,none
3,subdomain,"['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,neuropathology,4,"{'pred': [4], 'probs': [[0.0007858285098336637, 0.007282937876880169, 0.0004442222707439214, 0.0008789337589405477, 0.9869624972343445, 0.003645491087809205]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",none,none,none,none,none,none
4,submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,brightfield microscopy,1,"{'pred': [1], 'probs': [[0.0012841065181419253, 0.8388941287994385, 0.017622746527194977, 0.009447595104575157, 0.006416847463697195, 0.12633462250232697]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",none,none,none,none,none,none
5,domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,pathology,1,"{'pred': [0], 'probs': [[0.7672500014305115, 0.1331958770751953, 0.00021347423898987472, 0.015932392328977585, 0.0022279643453657627, 0.08118034154176712]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",none,none,none,none,none,none
6,modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,light microscopy,0,"{'pred': [0], 'probs': [[0.981050431728363, 0.004849715158343315, 7.166214800236048e-06, 0.014092717319726944]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",none,none,none,none,none,none
7,stain,"['What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,IHC(HDab),2,"{'pred': [2], 'probs': [[0.00018110594828613102, 9.810458578840553e-08, 0.9895059466362, 7.735484075510612e-08, 0.003119072178378701, 0.0071937027387320995]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",none,none,none,none,none,none
8,subdomain,"['What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? oral pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,neuropathology,2,"{'pred': [2], 'probs': [[0.09273305535316467, 0.004614758770912886, 0.8994723558425903, 3.674192328162462e-07, 0.0014652915997430682, 0.0017141486750915647]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",none,none,none,none,none,none
9,submodality,"['What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,brightfield microscopy,2,"{'pred': [2], 'probs': [[0.004206092096865177, 0.0042330618016421795, 0.828768789768219, 0.0013127753045409918, 0.08692876249551773, 0.07455050945281982]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",none,none,none,none,none,none
10,domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",c4386633-5cea-46d2-97c4-07d00293a22f,pathology,3,"{'pred': [0], 'probs': [[0.6187377572059631, 3.7511410482693464e-05, 0.04841173440217972, 0.08452171832323074, 0.0024942231830209494, 0.24579694867134094]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",none,none,none,none,none,none
11,modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",c4386633-5cea-46d2-97c4-07d00293a22f,light microscopy,1,"{'pred': [1], 'probs': [[0.013117696158587933, 0.9714657664299011, 2.2807575078331865e-05, 0.015393786132335663]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",none,none,none,none,none,none
