,question_class,question,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through light microscopy.', 'A micrograph acquired through electron microscopy.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A micrograph acquired through light microscopy.,1,"{'pred': [1], 'probs': [[0.01988021284341812, 0.9278094172477722, 0.05167039483785629, 0.0006399083067663014]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",none,none,none,none,none,none
1,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through light microscopy.', 'A microscopy image obtained through electron microscopy.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A microscopy image obtained through light microscopy.,1,"{'pred': [1], 'probs': [[0.014048279263079166, 0.9402820467948914, 0.04538491368293762, 0.00028475330327637494]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",none,none,none,none,none,none
2,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through synthetic.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'A micrograph acquired through mixed.', 'A micrograph acquired through phase contrast microscopy.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A micrograph acquired through brightfield microscopy.,1,"{'pred': [1], 'probs': [[1.5196046376786398e-07, 0.9878949522972107, 0.0013981416122987866, 0.003977051470428705, 0.006392304319888353, 0.0003373546642251313]], 'pred_prompt': ['A micrograph acquired through brightfield microscopy.']}",none,none,none,none,none,none
3,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through synthetic.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'A microscopy image obtained through mixed.', 'A microscopy image obtained through phase contrast microscopy.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A microscopy image obtained through brightfield microscopy.,1,"{'pred': [1], 'probs': [[6.022917204973055e-06, 0.9129263162612915, 0.011640648357570171, 0.022801628336310387, 0.05189070478081703, 0.0007346689817495644]], 'pred_prompt': ['A microscopy image obtained through brightfield microscopy.']}",none,none,none,none,none,none
4,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in biology.', 'A micrograph, typically studied in pathology.', 'A micrograph, typically studied in cytology.', 'A micrograph, typically studied in ophthalmology.', 'A micrograph, typically studied in dermatology.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,"A micrograph, typically studied in pathology.",1,"{'pred': [1], 'probs': [[0.14865046739578247, 0.8455002307891846, 0.00044353544944897294, 0.005372056271880865, 2.4902528821257874e-05, 8.785620593698695e-06]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",none,none,none,none,none,none
5,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in ophthalmology.', 'A microscopy image frequently studied in dermatology.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A microscopy image frequently studied in pathology.,1,"{'pred': [0], 'probs': [[0.4889259338378906, 0.2761164605617523, 0.21887068450450897, 0.013357564806938171, 0.0009992581326514482, 0.0017301533371210098]], 'pred_prompt': ['A microscopy image frequently studied in biology.']}",none,none,none,none,none,none
6,stain_0,A micrograph stained with {class}.,"['A micrograph stained with Ziehl-Neelsen.', 'A micrograph stained with Papanicolaou.', 'A micrograph stained with Gram.', 'A micrograph stained with IHC(HDab).', 'A micrograph without any staining.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A micrograph stained with IHC(HDab).,3,"{'pred': [4], 'probs': [[1.875931047834456e-06, 4.731876742880559e-06, 2.331825953660882e-06, 0.2962315082550049, 0.7037595510482788, 9.702185721494061e-09]], 'pred_prompt': ['A micrograph without any staining.']}",none,none,none,none,none,none
7,stain_1,A microscopy image stained with {class}.,"['A microscopy image stained with Ziehl-Neelsen.', 'A microscopy image stained with Papanicolaou.', 'A microscopy image stained with Gram.', 'A microscopy image stained with IHC(HDab).', 'A microscopy image without any staining.', 'none of the above']",e4dd44a4-dcf9-44eb-b77b-f64f43e924f3,A microscopy image stained with IHC(HDab).,3,"{'pred': [4], 'probs': [[4.4515742047224194e-05, 5.3347714128904045e-05, 7.41823241696693e-05, 0.4228152632713318, 0.5770123600959778, 3.6674995840257907e-07]], 'pred_prompt': ['A microscopy image without any staining.']}",none,none,none,none,none,none
8,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through light microscopy.', 'A micrograph acquired through electron microscopy.', 'A micrograph acquired through fluorescence microscopy.', 'none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,A micrograph acquired through light microscopy.,0,"{'pred': [0], 'probs': [[0.9871624112129211, 0.0008522577700205147, 0.011954819783568382, 3.056583955185488e-05]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",none,none,none,none,none,none
9,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through light microscopy.', 'A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through fluorescence microscopy.', 'none of the above']",3243dbab-dd15-459b-9b6a-7b4a00502f2f,A microscopy image obtained through light microscopy.,0,"{'pred': [0], 'probs': [[0.9947563409805298, 0.0015002783620730042, 0.0037399432621896267, 3.4877905363828177e-06]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",none,none,none,none,none,none
