question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",b4123130-8cc4-44ed-b80b-751963c94255,IHC(HDab),1,"{'pred': [1], 'probs': [[3.0782309750065906e-06, 0.9949800372123718, 2.4613885329927143e-07, 0.005009552463889122, 3.5383420708967606e-06, 3.573563162717619e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",3185daeb-0c3b-4216-bea6-2744061308ee,light microscopy,0,"{'pred': [0], 'probs': [[0.9998778104782104, 0.00012221747601870447, 7.847227312396399e-10, 8.204516926957339e-11]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",c4a09947-99c6-460f-8e83-96d0f87ae629,light microscopy,1,"{'pred': [1], 'probs': [[3.069934564337018e-07, 0.9999996423721313, 2.0683992296710585e-09, 4.127244379592554e-11]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",6d8dface-dc20-47fa-91a5-43811a84780d,pathology,4,"{'pred': [4], 'probs': [[2.040204449826888e-09, 1.233334878669723e-09, 8.821175456752428e-10, 2.8642837435199908e-08, 1.0, 2.212535488155254e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,brightfield microscopy,1,"{'pred': [1], 'probs': [[3.944580773129758e-11, 0.9999995231628418, 2.752994987531565e-07, 6.826508247570473e-09, 2.3458537157239334e-07, 2.8986216205062476e-11]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",1a3f2dd9-482f-4e1b-8787-440608fa185a,pathology,1,"{'pred': [1], 'probs': [[3.269147397233496e-09, 0.9999997615814209, 4.888063842578561e-10, 2.327638810584176e-07, 6.472976599170011e-10, 2.935995002673053e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? none of the above']",dfa8385e-7b49-4e43-bcf3-bc3aca9727c5,IHC(HDab),4,"{'pred': [4], 'probs': [[0.00019087376131210476, 1.0170526110186984e-07, 3.582445060601458e-06, 4.800657734449487e-06, 0.9997958540916443, 4.906934009341057e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",3ba7ff32-4da8-46dd-bab1-cf11ee4560f9,pathology,1,"{'pred': [1], 'probs': [[8.798724415726156e-09, 0.9999954700469971, 4.199887371214572e-06, 7.101152110777775e-09, 5.59655788379132e-08, 2.7107628852718335e-07]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? IHC(Red)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? none of the above']",103a5bce-4b44-4597-b233-2fee4ff83ba3,IHC(HDab),4,"{'pred': [4], 'probs': [[0.0002084739098791033, 0.00018810211622621864, 1.5981338492565555e-06, 3.587280916761415e-09, 0.9995995163917542, 2.3707032141828677e-06]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",b62e1320-4b74-456b-8773-f73a75e9ccd3,brightfield microscopy,4,"{'pred': [4], 'probs': [[3.967204520449741e-06, 4.531463204671127e-08, 1.6136697013280354e-05, 1.2825842077290872e-06, 0.9999786615371704, 1.1808920508116216e-09]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
