question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.8949716687202454, 1.2471909940359183e-05, 0.00024382199626415968, 2.6235225547566188e-08, 0.004164557438343763, 0.10060742497444153]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [4], 'probs': [[0.0013807992218062282, 0.17475642263889313, 0.0553189255297184, 0.1130964532494545, 0.6366382837295532, 0.018809078261256218]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? surgical pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [3], 'probs': [[1.069688551069703e-05, 0.03714549541473389, 6.189753776197904e-08, 0.7564889192581177, 0.12810581922531128, 0.07824905216693878]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [1], 'probs': [[7.045366601232672e-06, 0.9884003400802612, 0.0005347207188606262, 0.0029855172615498304, 1.6030027154556592e-06, 0.008070743642747402]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.850724995136261, 0.00033281161449849606, 0.09152620285749435, 0.03287595510482788, 0.013644982129335403, 0.010894966311752796]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [1], 'probs': [[4.120292032894213e-06, 0.9925285577774048, 0.0040898132137954235, 0.0033774974290281534]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [5], 'probs': [[0.1690824180841446, 2.7252146537648514e-05, 0.1718502789735794, 0.10698630660772324, 0.0004847098025493324, 0.5515690445899963]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [5], 'probs': [[0.24258743226528168, 5.500637780642137e-05, 0.0015512346290051937, 5.453343874251004e-06, 0.03808530047535896, 0.7177155017852783]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? none of the above']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [1], 'probs': [[0.17514756321907043, 0.49114227294921875, 0.02018243446946144, 0.05311879143118858, 0.07593272626399994, 0.18447615206241608]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [0], 'probs': [[0.9997949004173279, 5.690620673703961e-05, 1.8815411522155046e-06, 0.00014630166697315872]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
