question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",554e31b1-5db2-425b-a710-eafa864ea32b,neuropathology,4,"{'pred': [4], 'probs': [[0.0008177424897439778, 0.0009294645860791206, 0.038024645298719406, 0.09049184620380402, 0.8656597137451172, 0.004076583776623011]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7f8f8a3a-b97d-4291-b751-329c4174c70c,neuropathology,1,"{'pred': [1], 'probs': [[0.0190760288387537, 0.6326807737350464, 0.2740183174610138, 0.006860522553324699, 0.0006802808493375778, 0.0666840597987175]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e54e0ced-a31f-4ad4-9b5d-446b99bd089a,neuropathology,0,"{'pred': [0], 'probs': [[0.8433783650398254, 0.00015639577759429812, 0.12027846276760101, 0.00031069546821527183, 0.018013324588537216, 0.017862766981124878]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f449e7ef-047a-422d-b46e-a29f65577dbf,brightfield microscopy,4,"{'pred': [4], 'probs': [[0.020325077697634697, 0.0038155573420226574, 0.07597783952951431, 0.17162743210792542, 0.7187728881835938, 0.009481172077357769]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",a492a6e4-04f0-4831-a299-cc462a47d15a,light microscopy,2,"{'pred': [2], 'probs': [[0.3082870543003082, 0.010998085141181946, 0.6410894393920898, 0.039625462144613266]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",7df4aaed-7e5f-49c6-8170-3a4d0d5754a9,pathology,0,"{'pred': [2], 'probs': [[0.25431355834007263, 0.00019415515998844057, 0.620772659778595, 0.0011194465914741158, 0.09329087287187576, 0.030309302732348442]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",da6f434b-8e20-4ec0-bb9c-d5d2a25ee9f1,neuropathology,4,"{'pred': [4], 'probs': [[1.4327538266911688e-08, 0.14760954678058624, 0.023423008620738983, 8.546459866920486e-05, 0.8248701691627502, 0.004011827055364847]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",623750fb-8580-4d14-8f94-9612d4712b79,pathology,0,"{'pred': [2], 'probs': [[0.023292146623134613, 7.825975103514793e-07, 0.976079523563385, 4.702549176727189e-06, 0.0005388482240960002, 8.400282968068495e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",16bd85fa-fe49-45f6-8bf1-ac3b4414ec2c,neuropathology,4,"{'pred': [4], 'probs': [[0.057920556515455246, 0.03919082134962082, 0.010509899817407131, 0.023572633042931557, 0.8680302500724792, 0.0007758139399811625]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,neuropathology,3,"{'pred': [1], 'probs': [[5.724350771174613e-08, 0.7219767570495605, 9.729685552883893e-05, 0.26499471068382263, 0.01049297396093607, 0.0024382416158914566]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? autopsy pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
