question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",554e31b1-5db2-425b-a710-eafa864ea32b,neuropathology,4,"{'pred': [4], 'probs': [[6.593266731191871e-12, 1.4638694423307896e-10, 3.1408808887078976e-10, 6.302271204905452e-11, 1.0, 5.788558109405539e-13]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? renal and medical kidney pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7f8f8a3a-b97d-4291-b751-329c4174c70c,neuropathology,1,"{'pred': [1], 'probs': [[6.811898600744826e-08, 0.9999812841415405, 1.8623821233632043e-05, 3.6685875670627865e-08, 9.800893430167434e-10, 1.6227230670295967e-09]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? gynecologic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",e54e0ced-a31f-4ad4-9b5d-446b99bd089a,neuropathology,0,"{'pred': [0], 'probs': [[0.999998927116394, 1.4256192060191353e-10, 1.1103476253992994e-06, 1.253680076418462e-10, 2.6330956859332844e-10, 2.9497747994211565e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f449e7ef-047a-422d-b46e-a29f65577dbf,brightfield microscopy,4,"{'pred': [4], 'probs': [[3.4960251582560886e-08, 5.334286614852579e-13, 2.9929261291528064e-09, 1.0641271330769086e-07, 0.9999998807907104, 1.1289089238072925e-12]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",a492a6e4-04f0-4831-a299-cc462a47d15a,light microscopy,2,"{'pred': [2], 'probs': [[5.7881536008608236e-08, 4.7960408977587576e-08, 1.0, 1.250353265369597e-09]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",7df4aaed-7e5f-49c6-8170-3a4d0d5754a9,pathology,0,"{'pred': [0], 'probs': [[0.9999239444732666, 1.6762339782872004e-07, 7.434573490172625e-05, 4.01313293707517e-08, 7.751466313266064e-08, 1.3920391666033538e-06]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",da6f434b-8e20-4ec0-bb9c-d5d2a25ee9f1,neuropathology,4,"{'pred': [4], 'probs': [[7.811431352016535e-14, 1.0128108129947577e-08, 2.2490985074341552e-08, 8.915335830694815e-11, 1.0, 2.569209844871523e-10]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",623750fb-8580-4d14-8f94-9612d4712b79,pathology,0,"{'pred': [0], 'probs': [[0.9999964237213135, 1.2641822311199036e-10, 3.280672444816446e-06, 3.731888964519925e-10, 1.5367948691391575e-08, 2.0905223152567487e-07]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",16bd85fa-fe49-45f6-8bf1-ac3b4414ec2c,neuropathology,4,"{'pred': [4], 'probs': [[1.6284885662187776e-09, 4.2262871602360974e-07, 1.0645753434346261e-07, 1.323535947506116e-08, 0.9999994039535522, 1.5821241886038173e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6da359ff-1c25-4d61-bd99-9249196d523c,neuropathology,3,"{'pred': [3], 'probs': [[2.411194616365464e-13, 7.457320862158667e-06, 5.554116611072857e-10, 0.9999924898147583, 3.5473008974662434e-09, 4.632773678570068e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? neuropathology']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
