,question_class,question,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through light microscopy.', 'A micrograph acquired through fluorescence microscopy.', 'A micrograph acquired through electron microscopy.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A micrograph acquired through light microscopy.,0,"{'pred': [0], 'probs': [[0.945700466632843, 0.009312598034739494, 0.044956598430871964, 3.026135527761653e-05]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
1,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through light microscopy.', 'A microscopy image obtained through fluorescence microscopy.', 'A microscopy image obtained through electron microscopy.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A microscopy image obtained through light microscopy.,0,"{'pred': [0], 'probs': [[0.9280571341514587, 0.0024699014611542225, 0.06947243958711624, 5.089859200779756e-07]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
2,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through polarized light microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'A micrograph acquired through synthetic.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A micrograph acquired through brightfield microscopy.,1,"{'pred': [0], 'probs': [[0.9926256537437439, 0.00621181633323431, 0.0002431319298921153, 0.0009156891610473394, 3.561460744094802e-06, 1.0965657537553852e-07]], 'pred_prompt': ['A micrograph acquired through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
3,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through polarized light microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'A microscopy image obtained through synthetic.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A microscopy image obtained through brightfield microscopy.,1,"{'pred': [0], 'probs': [[0.9670642018318176, 0.02642832137644291, 0.0016194450436159968, 0.0047967517748475075, 9.122023038798943e-05, 2.1155601714895056e-08]], 'pred_prompt': ['A microscopy image obtained through polarized light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
4,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in cytology.', 'A micrograph, typically studied in pathology.', 'A micrograph, typically studied in radiology.', 'A micrograph, typically studied in biology.', 'A micrograph, typically studied in ophthalmology.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,"A micrograph, typically studied in pathology.",1,"{'pred': [1], 'probs': [[7.189166353782639e-05, 0.9209214448928833, 0.07688801735639572, 0.0021155430004000664, 3.1206491257762536e-06, 2.1300833319415347e-10]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
5,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in radiology.', 'A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in ophthalmology.', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A microscopy image frequently studied in pathology.,1,"{'pred': [1], 'probs': [[0.00830641109496355, 0.7650335431098938, 0.11910833418369293, 0.10735306143760681, 0.00019873153360094875, 4.218376759013154e-09]], 'pred_prompt': ['A microscopy image frequently studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
6,stain_0,A micrograph stained with {class}.,"['A micrograph without any staining.', 'A micrograph stained with H&E.', 'A micrograph stained with Toluidine Blue.', 'A micrograph stained with IHC(HDab).', 'A micrograph stained with IHC(Red).', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A micrograph stained with H&E.,1,"{'pred': [1], 'probs': [[0.16748221218585968, 0.803187370300293, 1.2565747056214605e-05, 0.0015774046769365668, 0.02774040959775448, 2.0500851016791444e-10]], 'pred_prompt': ['A micrograph stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
7,stain_1,A microscopy image stained with {class}.,"['A microscopy image without any staining.', 'A microscopy image stained with H&E.', 'A microscopy image stained with Toluidine Blue.', 'A microscopy image stained with IHC(HDab).', 'A microscopy image stained with IHC(Red).', 'none of the above']",887803d6-529b-499a-a5a3-fab0960e683e,A microscopy image stained with H&E.,1,"{'pred': [1], 'probs': [[0.019805192947387695, 0.9178222417831421, 1.1582033039303496e-05, 0.0033012619242072105, 0.059059757739305496, 3.868477760349265e-10]], 'pred_prompt': ['A microscopy image stained with H&E.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
8,modality_0,A micrograph acquired through {class}.,"['A micrograph acquired through light microscopy.', 'A micrograph acquired through electron microscopy.', 'A micrograph acquired through fluorescence microscopy.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A micrograph acquired through light microscopy.,0,"{'pred': [0], 'probs': [[0.855773389339447, 0.0518714040517807, 0.08229652792215347, 0.010058742016553879]], 'pred_prompt': ['A micrograph acquired through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
9,modality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through light microscopy.', 'A microscopy image obtained through electron microscopy.', 'A microscopy image obtained through fluorescence microscopy.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A microscopy image obtained through light microscopy.,0,"{'pred': [0], 'probs': [[0.9335976243019104, 0.06020426005125046, 0.006162781734019518, 3.53296818502713e-05]], 'pred_prompt': ['A microscopy image obtained through light microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
10,submodality_0,A micrograph acquired through {class}.,"['A micrograph acquired through synthetic.', 'A micrograph acquired through phase contrast microscopy.', 'A micrograph acquired through brightfield microscopy.', 'A micrograph acquired through darkfield microscopy.', 'A micrograph acquired through differential interference contrast microscopy.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A micrograph acquired through brightfield microscopy.,2,"{'pred': [2], 'probs': [[0.0012433379888534546, 0.35430318117141724, 0.38206711411476135, 0.014691607095301151, 0.24485009908676147, 0.002844685921445489]], 'pred_prompt': ['A micrograph acquired through brightfield microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
11,submodality_1,A microscopy image obtained through {class}.,"['A microscopy image obtained through synthetic.', 'A microscopy image obtained through phase contrast microscopy.', 'A microscopy image obtained through brightfield microscopy.', 'A microscopy image obtained through darkfield microscopy.', 'A microscopy image obtained through differential interference contrast microscopy.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A microscopy image obtained through brightfield microscopy.,2,"{'pred': [2], 'probs': [[0.0005317424656823277, 0.3179135322570801, 0.5060958862304688, 0.013320212252438068, 0.16203556954860687, 0.00010309605568181723]], 'pred_prompt': ['A microscopy image obtained through brightfield microscopy.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
12,domain_0,"A micrograph, typically studied in {class}.","['A micrograph, typically studied in biology.', 'A micrograph, typically studied in dermatology.', 'A micrograph, typically studied in pathology.', 'A micrograph, typically studied in cytology.', 'A micrograph, typically studied in radiology.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,"A micrograph, typically studied in pathology.",2,"{'pred': [2], 'probs': [[0.006357381585985422, 0.00020549002510961145, 0.5822240114212036, 4.829938760053665e-08, 0.4112129807472229, 9.134057066262358e-09]], 'pred_prompt': ['A micrograph, typically studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
13,domain_1,A microscopy image frequently studied in {class}.,"['A microscopy image frequently studied in biology.', 'A microscopy image frequently studied in dermatology.', 'A microscopy image frequently studied in pathology.', 'A microscopy image frequently studied in cytology.', 'A microscopy image frequently studied in radiology.', 'none of the above']",9e7c943c-c5a9-48a1-b30e-bcb2f92b2a4e,A microscopy image frequently studied in pathology.,2,"{'pred': [2], 'probs': [[0.2672499120235443, 0.005666800774633884, 0.4659769833087921, 0.00010726237815106288, 0.26099878549575806, 2.2199951388301997e-07]], 'pred_prompt': ['A microscopy image frequently studied in pathology.']}",2.0,pathology,cardiovascular pathology,light microscopy,brightfield microscopy,none
