question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",9ddce60c-d922-45b2-a48b-ad0a91d0b54a,brightfield microscopy,3,"{'pred': [3], 'probs': [[3.8731157170346364e-11, 5.8502191535581005e-08, 1.2329230969498894e-09, 0.9999998807907104, 1.4999409714278045e-08, 1.3538713483640663e-09]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e710f4c1-4756-4ab2-a26d-5ed09678c02b,pathology,3,"{'pred': [3], 'probs': [[0.18130654096603394, 0.00010606155410641804, 0.000349193112924695, 0.8089981079101562, 0.008034168742597103, 0.001205942127853632]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",d10192ff-832e-47ff-8e87-b5596c0dc0bf,light microscopy,2,"{'pred': [2], 'probs': [[0.0014895598869770765, 8.852277096593753e-05, 0.9965554475784302, 0.0018664674134925008]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",df9339a1-aae5-465c-bba8-2b515e49104d,H&E,3,"{'pred': [1], 'probs': [[0.0024615665897727013, 0.46588510274887085, 0.38519060611724854, 0.006063846871256828, 0.13325268030166626, 0.007146129850298166]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? PAS']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",8971281f-d1c3-4d64-ada9-83a196e25679,light microscopy,0,"{'pred': [0], 'probs': [[0.9997658133506775, 3.1092866947801667e-07, 0.00023252431128639728, 1.3767388509222656e-06]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",32cc83d0-bcf1-4e5e-a9ea-11c2a5d373fc,H&E,0,"{'pred': [1], 'probs': [[0.051224157214164734, 0.5441871285438538, 0.001115138758905232, 0.33553391695022583, 0.05840500071644783, 0.009534654207527637]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Giemsa']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",d643d0c1-ad14-4b73-94f9-1b4359897079,pathology,2,"{'pred': [2], 'probs': [[7.233671439621503e-10, 1.462213532477108e-07, 0.9999996423721313, 1.493513650530076e-07, 2.741375793036127e-09, 4.357306071511857e-09]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",92fd074e-29a7-4ace-9e76-cd6c0bc90a2d,pathology,4,"{'pred': [4], 'probs': [[2.11910332836851e-07, 8.53094594965853e-10, 4.835212674692002e-09, 5.345846602722304e-06, 0.9999942779541016, 1.185451097285295e-07]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6ba74832-7f5d-47e7-9ae0-d1f2644c929c,gastrointestinal pathology,4,"{'pred': [3], 'probs': [[1.525239810007406e-07, 3.208920679753646e-05, 1.4803324788204009e-08, 0.9999558925628662, 1.1838511454698164e-05, 3.4226277367821467e-09]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? oral pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",980a29d5-d294-4343-afa0-d01742f8101a,gastrointestinal pathology,1,"{'pred': [4], 'probs': [[0.18034207820892334, 0.007078084629029036, 0.06216617301106453, 0.2703555226325989, 0.477506548166275, 0.002551539335399866]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
