,question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",dc265c5b-5b80-4e12-adb9-8cc5312a6791,pathology,1,"{'pred': [4], 'probs': [[0.0008839789661578834, 0.03599971532821655, 0.0009955349378287792, 0.006260239984840155, 0.8630056977272034, 0.09285487979650497]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",none,none,none,none,none,none
1,modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",dc265c5b-5b80-4e12-adb9-8cc5312a6791,light microscopy,1,"{'pred': [3], 'probs': [[0.00042944957385770977, 0.1516900360584259, 0.00028055362054146826, 0.847599983215332]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? none of the above']}",none,none,none,none,none,none
2,stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? none of the above']",dc265c5b-5b80-4e12-adb9-8cc5312a6791,H&E,0,"{'pred': [1], 'probs': [[0.0006825682357884943, 0.39100632071495056, 0.006972029805183411, 0.2242005318403244, 8.948818503995426e-06, 0.3771296441555023]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? synthetic']}",none,none,none,none,none,none
3,subdomain,"['What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",dc265c5b-5b80-4e12-adb9-8cc5312a6791,gastrointestinal pathology,1,"{'pred': [2], 'probs': [[0.20563286542892456, 0.19017422199249268, 0.4512592554092407, 0.00444656889885664, 0.003985330928117037, 0.14450180530548096]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? hematopathology']}",none,none,none,none,none,none
4,submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",dc265c5b-5b80-4e12-adb9-8cc5312a6791,brightfield microscopy,3,"{'pred': [5], 'probs': [[0.06856083124876022, 0.010183818638324738, 0.20249399542808533, 0.2065725177526474, 0.021250339224934578, 0.4909384846687317]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? none of the above']}",none,none,none,none,none,none
5,domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",0ebe67a4-2c1b-4e98-b14a-76272d1b67f2,pathology,0,"{'pred': [3], 'probs': [[0.029540760442614555, 0.008019094355404377, 6.411522008420434e-06, 0.9523791670799255, 7.710945055805496e-07, 0.010053766891360283]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? cytology']}",none,none,none,none,none,none
6,modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0ebe67a4-2c1b-4e98-b14a-76272d1b67f2,light microscopy,0,"{'pred': [0], 'probs': [[0.8123534917831421, 0.11842504143714905, 0.0005713083664886653, 0.06865010410547256]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",none,none,none,none,none,none
7,stain,"['What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? none of the above']",0ebe67a4-2c1b-4e98-b14a-76272d1b67f2,H&E,3,"{'pred': [1], 'probs': [[0.022099792957305908, 0.6058635711669922, 0.16212999820709229, 8.52917401061859e-06, 0.19967414438724518, 0.010223963297903538]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Gram']}",none,none,none,none,none,none
8,subdomain,"['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",0ebe67a4-2c1b-4e98-b14a-76272d1b67f2,gastrointestinal pathology,0,"{'pred': [2], 'probs': [[0.044121153652668, 0.28672105073928833, 0.5772140026092529, 0.01834936812520027, 0.007716082967817783, 0.06587839126586914]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? breast pathology']}",none,none,none,none,none,none
9,submodality,"['What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",0ebe67a4-2c1b-4e98-b14a-76272d1b67f2,brightfield microscopy,3,"{'pred': [3], 'probs': [[0.10365281254053116, 0.001816360279917717, 0.3205588161945343, 0.4949452877044678, 0.0005839780787937343, 0.07844281941652298]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",none,none,none,none,none,none
