question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
subdomain,"['What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",24a99976-a575-4209-b438-91c6f33da2dc,cardiovascular pathology,2,"{'pred': [2], 'probs': [[0.01001607347279787, 0.060033027082681656, 0.8259002566337585, 0.10289572179317474, 0.0009837760590016842, 0.00017108269094023854]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",11afdc85-dd86-4143-aa78-58686f9e36ea,brightfield microscopy,1,"{'pred': [1], 'probs': [[5.729371976848086e-10, 0.9999998807907104, 2.2157253462551374e-11, 1.0730021315907834e-09, 8.798802042520038e-08, 1.1907710928404924e-10]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Basic fuchsin', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? none of the above']",90725353-0973-4e30-b294-44182876a34d,H&E,2,"{'pred': [2], 'probs': [[2.3761126399790555e-10, 5.161239768902703e-10, 1.0, 8.228134146248678e-11, 2.0976161085872747e-10, 4.709027764081275e-13]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",2.0,,,,,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? hepatobiliary pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? nephropathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",110cb51b-1ad7-45dc-87dd-4e190534b69f,cardiovascular pathology,0,"{'pred': [0], 'probs': [[0.995284378528595, 0.0012150243856012821, 0.0016872016713023186, 0.0007755515398457646, 0.0009914622642099857, 4.649760012398474e-05]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",1de96680-d832-4691-a6ff-8ae1652f21c3,pathology,4,"{'pred': [4], 'probs': [[2.837522161680539e-10, 1.5198334257782165e-10, 6.094568599790406e-11, 1.6609744829532147e-11, 1.0, 8.516451432960537e-12]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
stain,"['What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",c4a63162-3e0d-465c-af2a-36de33dd630d,H&E,1,"{'pred': [1], 'probs': [[2.2019723284333326e-13, 1.0, 5.15248087251674e-12, 1.6841392104678665e-13, 3.9346804758593965e-14, 2.4892252205840676e-16]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",2.0,,,,,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",e035efd0-fbad-4e2a-afc4-255033cc39b2,light microscopy,1,"{'pred': [1], 'probs': [[4.606477830293443e-07, 0.9999994039535522, 1.4873842246743152e-07, 1.8676173496601223e-08]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",2.0,,,,,
submodality,"['What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",f17faa97-b7e6-459b-a874-6a6ac7e9a5c1,brightfield microscopy,4,"{'pred': [4], 'probs': [[1.1924661293960526e-06, 4.1753284563128545e-07, 2.2493155948932753e-10, 3.812826498972299e-09, 0.9999983310699463, 5.170039396595882e-10]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",2.0,,,,,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? cardiovascular pathology', 'What is the most likely subfield of study this micrograph would be used for? pediatric pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",c4a63162-3e0d-465c-af2a-36de33dd630d,cardiovascular pathology,0,"{'pred': [1], 'probs': [[0.2683767080307007, 0.4370560944080353, 0.026517149060964584, 0.26724809408187866, 0.0005072025815024972, 0.0002947628090623766]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? pediatric pathology']}",2.0,,,,,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",de0e116c-0bb0-4f86-a198-9286c7e4e355,pathology,3,"{'pred': [3], 'probs': [[1.7910098404350094e-10, 9.194409816837279e-11, 2.8587831754633974e-11, 1.0, 5.669348546177844e-09, 2.3161732948251412e-11]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",2.0,,,,,
