question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
submodality,"['What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",9ddce60c-d922-45b2-a48b-ad0a91d0b54a,brightfield microscopy,3,"{'pred': [3], 'probs': [[9.828610147977201e-11, 3.308415985614488e-09, 2.1240632863683828e-10, 1.0, 2.967070589221521e-09, 1.4806503245701208e-10]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? none of the above']",e710f4c1-4756-4ab2-a26d-5ed09678c02b,pathology,3,"{'pred': [3], 'probs': [[4.000360806499792e-12, 2.8384003589350393e-13, 8.919301657927398e-14, 1.0, 8.608277935959197e-13, 6.717092820954533e-15]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",d10192ff-832e-47ff-8e87-b5596c0dc0bf,light microscopy,2,"{'pred': [2], 'probs': [[4.2571038250116544e-08, 4.1878411849438635e-09, 1.0, 5.3268171124054575e-12]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",df9339a1-aae5-465c-bba8-2b515e49104d,H&E,3,"{'pred': [3], 'probs': [[4.4909692284433866e-13, 2.155957195811107e-14, 3.2488711699217576e-13, 1.0, 9.997192960617407e-13, 1.0802306467540658e-16]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",8971281f-d1c3-4d64-ada9-83a196e25679,light microscopy,0,"{'pred': [0], 'probs': [[1.0, 1.2331231591389269e-09, 6.581942990635525e-09, 3.5089097426277416e-13]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",32cc83d0-bcf1-4e5e-a9ea-11c2a5d373fc,H&E,0,"{'pred': [0], 'probs': [[1.0, 3.128237144149615e-13, 9.04735711533284e-15, 7.627446417524109e-12, 1.3241172403036906e-16, 1.2645132523410796e-16]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",d643d0c1-ad14-4b73-94f9-1b4359897079,pathology,2,"{'pred': [2], 'probs': [[1.9850370262461392e-13, 2.601102926796939e-13, 1.0, 8.94838109860574e-12, 1.0048037434647744e-13, 3.857907103586161e-14]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",92fd074e-29a7-4ace-9e76-cd6c0bc90a2d,pathology,4,"{'pred': [4], 'probs': [[1.6654456676604146e-13, 1.1323350568824553e-13, 9.047521846300421e-13, 2.181331504313988e-12, 1.0, 9.71885061578498e-14]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? forensic pathology', 'What is the most likely subfield of study this micrograph would be used for? autopsy pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",6ba74832-7f5d-47e7-9ae0-d1f2644c929c,gastrointestinal pathology,4,"{'pred': [4], 'probs': [[1.0867763286515064e-11, 4.48770291761047e-11, 1.832387193367868e-11, 2.899738608952429e-12, 1.0, 1.355426594530293e-13]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? oral pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? bone and soft tissue pathology', 'What is the most likely subfield of study this micrograph would be used for? pancreatic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",980a29d5-d294-4343-afa0-d01742f8101a,gastrointestinal pathology,1,"{'pred': [1], 'probs': [[1.7041848834886686e-11, 1.0, 6.229482533114117e-13, 1.3386833959058708e-12, 4.9117275595063695e-14, 1.911085391770751e-14]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? clinical pathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? neuropathology', 'What is the most likely subfield of study this micrograph would be used for? molecular pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",8d4c8940-7998-4c69-a137-b7a4a938f28c,gastrointestinal pathology,2,"{'pred': [2], 'probs': [[1.1747297579134397e-10, 2.9007334312325384e-09, 1.0, 5.900057664653957e-10, 1.047413267230013e-08, 5.914103928805758e-11]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",11b006f8-109c-4e74-88d9-99bfda8564b9,pathology,4,"{'pred': [4], 'probs': [[1.1457953509597107e-11, 2.2082178750479353e-13, 1.0258400438790602e-13, 1.8364965852311205e-13, 1.0, 6.777130262146033e-14]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",7081e8fc-f790-4620-892a-b11d58506681,light microscopy,0,"{'pred': [0], 'probs': [[1.0, 2.2026822588117057e-09, 8.102067627913101e-11, 3.893134949752583e-15]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
stain,"['What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Alcian Blue', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? Gram', 'What is the most likely technique used to stain this micrograph? Ziehl-Neelsen', 'What is the most likely technique used to stain this micrograph? none of the above']",3467c52b-d474-42e9-88f5-4ab0d5ad95e3,H&E,0,"{'pred': [0], 'probs': [[1.0, 4.082804261367661e-15, 1.0811883445558789e-14, 3.526862799041839e-18, 2.1478836165710578e-14, 8.413711275719464e-17]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? H&E']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
