,question_class,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
0,domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,pathology,4,"{'pred': [2], 'probs': [[0.2230049967765808, 0.000295519974315539, 0.393219918012619, 9.101348405238241e-05, 0.12090392410755157, 0.2624845802783966]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
1,modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,light microscopy,1,"{'pred': [1], 'probs': [[0.0003946103388443589, 0.5177603363990784, 0.47106122970581055, 0.010783798061311245]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
2,stain,"['What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? Papanicolaou', 'What is the most likely technique used to stain this micrograph? Toluidine Blue', 'What is the most likely technique used to stain this micrograph? H&E', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,Giemsa,0,"{'pred': [4], 'probs': [[0.003887342754751444, 6.132237558631459e-06, 7.733705160717363e-07, 1.712000496922883e-08, 0.9961054921150208, 1.360549362061647e-07]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Wright-Giemsa']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
3,subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? blood banking and transfusion medicine', 'What is the most likely subfield of study this micrograph would be used for? breast pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? infectious disease pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,hematopathology,0,"{'pred': [4], 'probs': [[0.26259440183639526, 0.0019793990068137646, 0.003020607167854905, 3.5699295040103607e-06, 0.5708609223365784, 0.16154105961322784]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? infectious disease pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
4,submodality,"['What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",ddd6f474-11a6-4876-bfac-651f6fdb669c,brightfield microscopy,2,"{'pred': [0], 'probs': [[0.26267004013061523, 0.1186392530798912, 0.21603308618068695, 0.21114948391914368, 0.0013999411603435874, 0.19010820984840393]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? mixed']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
5,domain,"['What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,pathology,4,"{'pred': [3], 'probs': [[3.077907604165375e-05, 0.0002786908589769155, 4.169535168330185e-05, 0.5149366855621338, 0.03996066004037857, 0.444751501083374]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? biology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
6,modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,light microscopy,1,"{'pred': [1], 'probs': [[0.000127933788462542, 0.8678372502326965, 0.1144099161028862, 0.01762492209672928]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
7,stain,"['What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? PAS', 'What is the most likely technique used to stain this micrograph? Congo Red', 'What is the most likely technique used to stain this micrograph? Wright-Giemsa', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,Giemsa,4,"{'pred': [3], 'probs': [[0.0009410419152118266, 5.135325409355573e-07, 7.283971399374423e-07, 0.9910927414894104, 0.007964754477143288, 1.453533116091421e-07]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? Wright-Giemsa']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
8,subdomain,"['What is the most likely subfield of study this micrograph would be used for? nephropathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? ophthalmic pathology', 'What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? head and neck pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,hematopathology,3,"{'pred': [5], 'probs': [[0.0010319913271814585, 0.0027658266481012106, 0.3681361675262451, 0.10375382751226425, 0.015662245452404022, 0.5086498856544495]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? none of the above']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
9,submodality,"['What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",7ff4c714-1238-4245-8680-e2174e1802fe,brightfield microscopy,3,"{'pred': [1], 'probs': [[0.06422951072454453, 0.588410496711731, 0.00045600434532389045, 0.19842585921287537, 0.055933039635419846, 0.0925450325012207]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? synthetic']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,none
