question_type,questions,image_id,correct_answer,correct_idx,model_answers,microns_per_pixel,domain,subdomain,modality,submodality,normal_or_abnormal
stain,"['What is the most likely technique used to stain this micrograph? IHC(HDab)', 'What is the most likely technique used to stain this micrograph? Giemsa', 'What is the most likely technique used to stain this micrograph? synthetic', 'What is the most likely technique used to stain this micrograph? Masson Trichrome', 'What is the most likely technique used to stain this micrograph? None', 'What is the most likely technique used to stain this micrograph? none of the above']",52491f1e-ceda-44d4-8ec3-b1b22677ac35,IHC(HDab),0,"{'pred': [0], 'probs': [[0.9995986819267273, 0.00034221968962810934, 1.8053040173882096e-09, 1.052936386258807e-05, 4.968596272192372e-07, 4.8065110604511574e-05]], 'pred_prompt': ['What is the most likely technique used to stain this micrograph? IHC(HDab)']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
subdomain,"['What is the most likely subfield of study this micrograph would be used for? hematopathology', 'What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology', 'What is the most likely subfield of study this micrograph would be used for? genitourinary pathology', 'What is the most likely subfield of study this micrograph would be used for? endocrine pathology', 'What is the most likely subfield of study this micrograph would be used for? surgical pathology', 'What is the most likely subfield of study this micrograph would be used for? none of the above']",04029e0f-31d3-4f1e-a7f4-874931563997,gastrointestinal pathology,1,"{'pred': [1], 'probs': [[1.0341422163051561e-09, 0.9999998807907104, 1.3778860719071417e-08, 2.1724337884165834e-08, 5.8770272204355933e-08, 1.9782116483096912e-12]], 'pred_prompt': ['What is the most likely subfield of study this micrograph would be used for? gastrointestinal pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? none of the above']",af5a1b3b-7bf7-4578-a8f6-b6ede116f5d8,pathology,3,"{'pred': [3], 'probs': [[9.192402394830879e-10, 6.024404086701907e-08, 6.31125360306406e-13, 0.9999966621398926, 3.1703023068985203e-06, 6.312317424317371e-08]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.4950000047683716,pathology,gastrointestinal and liver pathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? none of the above']",35f26fb2-6941-4207-a84d-83301010818f,pathology,1,"{'pred': [1], 'probs': [[7.449594413566629e-11, 0.9999997615814209, 2.2979225189345698e-09, 2.284735103330604e-07, 1.827545580146417e-11, 2.8660537054747692e-08]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? polarized light microscopy', 'What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? synthetic', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",c4b203b8-379b-49cf-b6b1-592dcd262859,brightfield microscopy,0,"{'pred': [0], 'probs': [[0.9484418630599976, 3.508590452838689e-06, 0.0167826097458601, 0.010989753529429436, 0.0001546434359624982, 0.023627540096640587]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",cb2686dd-7128-43d0-ae57-531d30cbb3c1,light microscopy,1,"{'pred': [1], 'probs': [[2.1069803324280656e-07, 0.9999017715454102, 9.646565013099462e-05, 1.4972384860811871e-06]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5026999711990356,pathology,neuropathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? cytology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? none of the above']",96ff317b-01fa-4006-9410-f1405c1ce0f5,pathology,2,"{'pred': [2], 'probs': [[0.013362604193389416, 2.4068540369626135e-06, 0.9665019512176514, 0.018750106915831566, 2.432663859508466e-05, 0.0013585459673777223]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
domain,"['What is the most likely field of study this micrograph would be used for? pathology', 'What is the most likely field of study this micrograph would be used for? radiology', 'What is the most likely field of study this micrograph would be used for? dermatology', 'What is the most likely field of study this micrograph would be used for? ophthalmology', 'What is the most likely field of study this micrograph would be used for? biology', 'What is the most likely field of study this micrograph would be used for? none of the above']",57425058-7b4d-4947-99cf-a649d72d1fdd,pathology,0,"{'pred': [0], 'probs': [[0.9996070265769958, 4.9746663677296965e-08, 9.493883226241451e-07, 3.354401556521225e-08, 0.00037803855957463384, 1.3993038919579703e-05]], 'pred_prompt': ['What is the most likely field of study this micrograph would be used for? pathology']}",0.1599999964237213,pathology,hematopathology,light microscopy,brightfield microscopy,
submodality,"['What is the most likely microscopy submodality used to acquire this image? phase contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? brightfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? darkfield microscopy', 'What is the most likely microscopy submodality used to acquire this image? differential interference contrast microscopy', 'What is the most likely microscopy submodality used to acquire this image? mixed', 'What is the most likely microscopy submodality used to acquire this image? none of the above']",74ba21c2-56f3-4f8b-8666-6779e01d28e8,brightfield microscopy,1,"{'pred': [1], 'probs': [[0.09345512092113495, 0.719210147857666, 0.0017050689784809947, 0.003115497063845396, 0.013479802757501602, 0.16903437674045563]], 'pred_prompt': ['What is the most likely microscopy submodality used to acquire this image? brightfield microscopy']}",0.10000000149011612,pathology,hematopathology,light microscopy,brightfield microscopy,
modality,"['What is the most likely microscopy modality used to acquire this image? light microscopy', 'What is the most likely microscopy modality used to acquire this image? electron microscopy', 'What is the most likely microscopy modality used to acquire this image? fluorescence microscopy', 'What is the most likely microscopy modality used to acquire this image? none of the above']",0f150543-68da-4faa-a304-275bc2b546c1,light microscopy,0,"{'pred': [0], 'probs': [[0.9999995231628418, 4.7459010943384783e-07, 2.6587521517740242e-08, 1.42068374842097e-08]], 'pred_prompt': ['What is the most likely microscopy modality used to acquire this image? light microscopy']}",0.5,pathology,gastrointestinal pathology,light microscopy,brightfield microscopy,
